medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
12972011,100,K1703,K170300,Periurethral cellulitis,7253006,12972011,,32
25168017,4000,K2723,K272300,Cellulitis of penis,14812002,25168017,,32
32771017,2000,M08A,M08A.00,Cellulitis of axilla,19457002,32771017,,32
40768015,10000,M086,M086.00,Cellulitis of ankle,24288004,40768015,,32
40845016,20,H1y51,H1y5100,Cellulitis of vocal cords,24347001,40845016,,32
48067018,20,H1y71,H1y7100,Cellulitis of larynx,28709001,48067018,,32
58130016,5000,K2843,K284300,Cellulitis of scrotum,34830002,58130016,,32
62096018,1000,M089,M089.00,Cellulitis of neck,37223007,62096018,,32
78133018,1000,M083,M083.00,Cellulitis of trunk,46876003,78133018,,32
85030014,3000,J0851,J085100,Cellulitis of lip,51030006,85030014,,32
117333013,10000,M08C,M08C.00,Cellulitis of toe,70637004,117333013,,32
158680013,10000,M038,M038.00,Cellulitis of external ear,232214001,347928014,,32
178652010,10,K2802,K280200,Cellulitis of seminal vesicle,111414008,178652010,,32
206541013,200000,M08B,M08B.00,Cellulitis of foot,128276007,206541013,,32
298680016,70000,F4G01,F4G0100,Orbital cellulitis,194005002,298680016,,32
302270018,1000,J0830,J083000,Cellulitis of floor of mouth,196538002,302270018,,32
302273016,200,J0831,J083100,Oral soft tissue cellulitis unspecified,8771003,15467019,,32
304671012,4000,K403,K403.00,Acute parametritis and pelvic cellulitis,237037006,355291010,,32
304678018,5,K403z,K403z00,Acute parametritis and pelvic cellulitis NOS,237037006,355291010,,32
304679014,20,K404,K404.00,Chronic parametritis and pelvic cellulitis,198159006,304679014,,32
304680012,90,K4040,K404000,Chronic female pelvic cellulitis,198160001,304680012,,32
304684015,400,K405,K405.00,Parametritis and pelvic cellulitis unspecified,280486004,418100014,,32
304686018,200,K4051,K405100,Pelvic cellulitis unspecified,280486004,418100014,,32
304687010,2,K405z,K405z00,Parametritis and pelvic cellulitis NOS,280486004,418100014,,32
308266016,20000,M02,M02..00,Cellulitis and abscess of finger and toe,200628009,308266016,,32
308269011,30000,M020,M020.00,Cellulitis and abscess of finger,200630006,308269011,,32
308270012,5000,M0200,M020000,Cellulitis and abscess of finger unspecified,200630006,308269011,,32
308281010,2000,M020z,M020z00,Cellulitis and abscess of finger NOS,200630006,308269011,,32
308282015,80000,M021,M021.00,Cellulitis and abscess of toe,200638004,308282015,,32
308283013,8000,M0210,M021000,Cellulitis and abscess of toe unspecified,200638004,308282015,,32
308300010,40000,M030,M030.00,Cellulitis and abscess of face,200645004,308300010,,32
308307013,800,M0302,M030200,Cellulitis and abscess of chin,200648002,308307013,,32
308308015,900,M0303,M030300,Cellulitis and abscess of submandibular region,200649005,308308015,,32
308309011,800,M0304,M030400,Cellulitis and abscess of forehead,200650005,308309011,,32
308310018,200,M0305,M030500,Cellulitis and abscess of temple region,200651009,308310018,,32
308311019,6000,M082,M082.00,Cellulitis of face,200652002,308311019,,32
308312014,3000,M030z,M030z00,Cellulitis and abscess of face NOS,200645004,308300010,,32
308316012,10000,M032,M032.00,Cellulitis and abscess of trunk,200655000,308316012,,32
308317015,2000,M0320,M032000,Cellulitis and abscess of chest wall,200656004,308317015,,32
308318013,9000,M0321,M032100,Cellulitis and abscess of breast,200657008,308318013,,32
308319017,3000,M0322,M032200,Cellulitis and abscess of back,200658003,308319017,,32
308320011,6000,M0323,M032300,Cellulitis and abscess of abdominal wall,200659006,308320011,,32
308321010,10000,M0324,M032400,Cellulitis and abscess of umbilicus,200660001,308321010,,32
308322015,200,M0325,M032500,Cellulitis and abscess of flank,200661002,308322015,,32
308323013,20000,M0326,M032600,Cellulitis and abscess of groin,200662009,308323013,,32
308324019,2000,M0327,M032700,Cellulitis and abscess of perineum,200663004,308324019,,32
308325018,200,M032z,M032z00,Cellulitis and abscess of trunk NOS,200655000,308316012,,32
308326017,30000,M033,M033.00,Cellulitis and abscess of upper limb,449717009,2913219010,,32
308327014,700,M0330,M033000,Cellulitis and abscess of shoulder,200666007,308327014,,32
308328016,20000,M0331,M033100,Cellulitis and abscess of axilla,200667003,308328016,,32
308329012,2000,M0332,M033200,Cellulitis and abscess of upper arm,200668008,308329012,,32
308330019,7000,M0333,M033300,Cellulitis and abscess of elbow,200669000,308330019,,32
308331015,7000,M0334,M033400,Cellulitis and abscess of forearm,200670004,308331015,,32
308332010,1000,M033z,M033z00,Cellulitis and abscess of arm NOS,200668008,308329012,,32
308342012,1000,M0341,M034100,Cellulitis and abscess of wrist,200674008,308342012,,32
308343019,8000,M034z,M034z00,Cellulitis of hand,62837005,104432017,,32
308344013,20000,M035,M035.00,Cellulitis and abscess of buttock,200676005,308344013,,32
308349015,700,M0360,M036000,Cellulitis and abscess of hip,200678006,308349015,,32
308350015,8000,M0361,M036100,Cellulitis and abscess of thigh,200679003,308350015,,32
308351016,8000,M0362,M036200,Cellulitis and abscess of knee,200680000,308351016,,32
308352011,100000,M0363,M036300,Cellulitis and abscess of lower leg,200681001,308352011,,32
308353018,5000,M0364,M036400,Cellulitis and abscess of ankle,200682008,308353018,,32
308354012,70000,M036z,M036z00,Cellulitis and abscess of leg NOS,449702005,2912778018,,32
308358010,10000,M0370,M037000,Cellulitis and abscess of foot unspecified,267783003,399903012,,32
308359019,2000,M0371,M037100,Cellulitis and abscess of heel,200686006,308359019,,32
308360012,4000,M0372,M037200,Cellulitis in diabetic foot,200687002,308360012,,32
308361011,8000,M037z,M037z00,Cellulitis and abscess of foot NOS,267783003,399903012,,32
308363014,2000,M03y,M03y.00,Other specified cellulitis and abscess,70759006,117539013,,32
308367010,2000,M03zz,M03zz00,Cellulitis and abscess NOS,70759006,117539013,,32
308368017,2000000,M03z0,M03z000,Cellulitis,128045006,474280013,,32
308446011,6000,M084,M084.00,Cellulitis of breast,75817003,125926017,,32
308453019,9000,M08y,M08y.00,Cellulitis of skin,123951002,192440011,,32
347348011,30000,F4D14,F4D1400,Cellulitis of eyelid,231796003,347348011,,32
357316015,3000,M03-3,M03..13,Cellulitis of skin area excluding digits of hand or foot,238395006,357316015,,32
357317012,20000,M0340-3,M034013,Cellulitis of dorsum of hand,238396007,357317012,,32
357321017,2000,M0340-4,M034014,Cellulitis of palm of hand,238398008,357321017,,32
357328011,2000000,M085,M085.00,Cellulitis of lower limb,449710006,2912869018,,32
358454017,1000,ESCTWO9,,Wound cellulitis,239162003,358454017,,32
360374010,100,A98yy-4,A98yy14,Gonococcal cellulitis,240584003,360374010,,32
396325011,1000,J083z,J083z00,Oral cellulitis and abscess NOS,41188003,68708014,,32
396760015,500,K4031,K403100,Acute pelvic cellulitis,237037006,355291010,,32
399892014,3000,M021z,M021z00,Cellulitis and abscess of toe NOS,200638004,308282015,,32
399893016,20000,M02z,M02z.00,Cellulitis and abscess of digit NOS,200628009,308266016,,32
399894010,80000,M03,M03..00,Other cellulitis and abscess,70759006,117539013,,32
399895011,3000,M0300,M030000,Cellulitis and abscess of cheek (external),267777001,399895011,,32
399896012,1000,M0300-1,M030011,Cellulitis and abscess of cheek,267777001,399896012,,32
399897015,3000,M0301,M030100,Cellulitis and abscess of nose (external),267778006,399897015,,32
399898013,7000,M031,M031.00,Cellulitis and abscess of neck,267779003,399898013,,32
399899017,20000,M034,M034.00,Cellulitis and abscess of hand excluding digits,267780000,399899017,,32
399900010,6000,M0340,M034000,Cellulitis and abscess of hand unspecified,267780000,399899017,,32
399901014,30000,M036-1,M036.11,Cellulitis and abscess of leg,449702005,2912778018,,32
399903012,100000,M037,M037.00,Cellulitis and abscess of foot excluding toe,267783003,399903012,,32
399904018,500,M03y0,M03y000,Cellulitis and abscess of head unspecified,70759006,117539013,,32
399909011,6000,M080,M080.00,Cellulitis of digit,19240003,32438017,,32
423153016,100000,M088,M088.00,Cellulitis of upper limb,449671007,2912546011,,32
450441010,200,ESCTPO6,,Postoperative wound cellulitis,307230004,450441010,,32
450686015,300,J54-1,J54..11,Cellulitis - anus or rectum,307424002,450686015,,32
450687012,2000,J540-1,J540.11,Perianal cellulitis,307425001,450687012,,32
472876012,200000,M08,M08..00,Cutaneous cellulitis,123951002,472876012,,32
2974644018,2000,ESCTRE62,,Recurrent cellulitis,698567002,2974644018,,32
42341000006115,1000,J083,J083.00,Oral cellulitis and abscess,41188003,68708014,,32
219471000000116,20000,F5011-2,F501112,Cellulitis, external ear,232214001,347928014,,32
230901000006114,100,H1y21,H1y2100,Pharynx or nasopharynx cellulitis,23166004,38903015,,32
370601000006113,6000,M081,M081.00,[X]Cellulitis of other parts of limb,123951002,192440011,,32
370621000006115,3000,M080-3,M080.13,[X]Cellulitis of thumb,19240003,32438017,,32
540621000006119,200000,M03z,M03z.00,Cellulitis and abscess NOS,70759006,117539013,,32
540851000006112,10000,M037-1,M037.11,Cellulitis and abscess of foot,267783003,399903012,,32
540921000006112,7000,M034-1,M034.11,Cellulitis and abscess of hand,267780000,399899017,,32
541011000006113,100000,M036,M036.00,Cellulitis and abscess of lower limb,449702005,2912778018,,32
541051000006114,8000,M0301-1,M030111,Cellulitis and abscess of nose,267778006,399897015,,32
541281000006113,20000,F4D0-1,F4D0.11,Cellulitis of eyelids,41446000,69126011,,32
541291000006111,70000,M0306,M030600,Cellulitis of face,200652002,308311019,,32
541421000006113,900,M0328,M032800,Cellulitis of trunk,46876003,78133018,,32
646471000006112,700,M2y7,M2y7.00,Eosinophilic cellulitis,238931006,358087013,,32
886951000006111,100,K272-99,K272.99,Penile cellulitis/abscess/boil,286983008,886951000006111,,32
888941000006110,1000,M02-99,M02..99,Cellulitis/abscess -finger/toe,200628009,888941000006110,,32
888951000006112,20000,M0203-99,M020399,Cellulitis - finger-paronychia,36857002,888951000006112,,32
888961000006114,10000,M021-99,M021.99,Cellulitis - toe,200638004,888961000006114,,32
888971000006119,2000,M02z-99,M02z.99,Cellulitis - digit NOS,666551000000101,888971000006119,,32
888981000006116,6000,M03-99,M03..99,Cellulitis/abscess NOS,70759006,888981000006116,,32
888991000006118,5000,M030-99,M030.99,Cellulitis/abscess - face,200645004,888991000006118,,32
