medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
4765019,60000,A5315-1,A531511,Postherpetic neuralgia,2177002,4765019,,32
8902018,700000,A53,A53..00,Herpes zoster infection,4740000,494820013,,32
8904017,1000000,A53-1,A53..11,Shingles,4740000,8904017,,32
18244018,100,A530,A530.00,Herpes zoster with meningitis,10491005,1219080012,,32
18585010,300,A5322,A532200,Herpes zoster iridocyclitis,10698009,18585010,,32
30355011,8000,F300,F300.00,Post-herpetic trigeminal neuralgia,17974002,30355011,,32
36819018,2000,A5311,A531100,Geniculate herpes zoster,21954000,36819018,,32
145090014,30000,A5324,A532400,Herpes zoster ophthalmicus,87513003,145090014,,32
286714015,30000,A532,A532.00,Herpes zoster with ophthalmic complication,186524006,286714015,,32
286715019,1000,A5320,A532000,Herpes zoster with dermatitis of eyelid,186525007,286715019,,32
286717010,1000,A532z,A532z00,Herpes zoster with other ophthalmic complication,186524006,286714015,,32
286718017,2000,A53x,A53x.00,Herpes zoster with complication,49183009,81926015,,32
286721015,500,A53xz,A53xz00,Herpes zoster with other specified complication NOS,49183009,81926015,,32
286722010,700,A53y,A53y.00,Herpes zoster with unspecified complications,49183009,81927012,,32
286723017,200000,A53z,A53z.00,Herpes zoster,4740000,8902018,,32
288153012,50,AyuA4,AyuA400,[X]Zoster with other complications,4740000,8902018,,32
288154018,100,AyuA5,AyuA500,[X]Zoster without complications,4740000,8902018,,32
297557016,100,F3744,F374400,Polyneuropathy in herpes zoster,193190005,297557016,,32
344957015,300,A5314,A531400,Zoster encephalitis,230176008,344957015,,32
344958013,300,F0309-1,F030911,Herpes zoster encephalitis,230176008,344958013,,32
395349015,20000,A531,A531.00,Herpes zoster with nervous system complication,111861003,179029018,,32
481174015,1000,A53x0,A53x000,Herpes zoster otitis externa,21954000,481174015,,32
1219080012,40,F0112-1,F011211,Herpes zoster meningitis,10491005,1219080012,,32
1229869010,2000,A5321,A532100,Herpes zoster with keratoconjunctivitis,42448002,1229869010,,32
44081000006115,10000,A5323,A532300,Ophthalmic herpes zoster infection,87513003,145090014,,32
191651000006117,10000,A5311-1,A531111,Ramsay Hunt syndrome,21954000,2262131000000119,,32
211231000006113,1000,A5313,A531300,Post-herpetic polyneuropathy,76462000,126981019,,32
211241000006115,5000,A5312,A531200,Postherpetic trigeminal neuralgia,17974002,30355011,,32
212551000006110,20000,A5315,A531500,Post-zoster neuralgia,2177002,1222664015,,32
217001000006117,100000,A531-1,A531.11,Post-herpetic neuralgia,2177002,4765019,,32
487171000006114,7000,65O2,65O2.00,Anti-varic-Zoster immunoglob.,373873005,1212316016,,32
625341000006116,100,A53x1,A53x100,Disseminated herpes zoster,55560002,92352018,,32
640911000006110,100,F0309,F030900,Encephalitis due to herpes zoster,230176008,344958013,,32
706441000006117,100,F0112,F011200,Herpes zoster with meningitis,10491005,18244018,,32
778951000006117,300,F5016,F501600,Infective otitis externa due to herpes zoster,21954000,36819018,,32
822201000006110,100,F5016-1,F501611,Herpes zoster - otitis externa,21954000,481174015,,32
822321000006112,200,A531z,A531z00,Herpes zoster with other CNS complication NOS,111861003,179029018,,32
822331000006110,400,A5310,A531000,Herpes zoster with other CNS complications,111861003,179029018,,32
879141000006110,4000,A532-99,A532.99,Ophthalmic herpes zoster,186524006,879141000006110,,32
879151000006112,1000,A53z-99,A53z.99,Other herpes zoster,664671000000102,879151000006112,,32
905671000006114,5000,HNG0041,,[RFC] Shingles,905671000006105,905671000006114,,12
905931000006117,900,HNG0060,,[RFC] Shingles,905931000006101,905931000006117,,12
925131000006111,1,PCNQAN6,,Anti-varic-zoster immunoglob.,925131000006107,925131000006111,,42
988701000006119,20,A5323-99,A532399,Ophthalmic herpes zoster,87513003,988701000006119,,32
1139221000000111,50,2Fa,2Fa..00,Hutchinson's sign - herpes zoster involving nose tip,410500004,2472158013,,27
2533651000006115,500,^ESCTPH253365,,PHN - Post-herpetic neuralgia,2177002,1222663014,,32
2574471000006111,1,^ESCTZO257447,,Zoster,4740000,2478721011,,32
2666881000006119,6,^ESCTVA266688,,Varicella-zoster meningitis,10491005,1219079014,,32
2810121000006119,4,^ESCTVA281012,,Varicella-zoster virus,19551004,32917017,,31
2810141000006114,6,^ESCTVZ281014,,VZV - Varicella-zoster virus,19551004,479638017,,31
2810161000006113,1,^ESCTHZ281016,,HZ - Herpes zoster virus,19551004,479640010,,31
2810171000006118,2,^ESCTHE281017,,Herpes zoster,19551004,479641014,,31
2849161000006111,100,^ESCTHE284916,,Herpes zoster auricularis,21954000,36817016,,32
2849191000006115,30,^ESCTHE284919,,Herpes zoster oticus,21954000,36821011,,32
2849211000006119,30,^ESCTHZ284921,,HZO - Herpes zoster oticus,21954000,481172016,,32
2849241000006115,1000,^ESCTRA284924,,Ramsay Hunt syndrome - auricular,21954000,481176018,,32
2849261000006116,3,^ESCTRA284926,,Ramsay Hunt syndrome 2,21954000,2985944015,,32
3160601000006119,10,^ESCTRA316060,,Ramsay Hunt syndrome 1,41009006,2985952017,,31
3184411000006110,30,^ESCTHE318441,,Herpes zoster keratoconjunctivitis,42448002,70830016,,32
3743821000006116,3,^ESCTNE374382,,Nerve pain from shingles,76462000,3028685013,,32
3922471000006119,2,^ESCTZO392247,,Zoster ophthalmicus,87513003,1235244015,,32
4742251000006116,10,^ESCTHE474225,,Herpes zoster dermatitis of eyelids,186525007,2470020017,,32
4769061000006113,20,^ESCTRA476906,,Ramsay Hunt syndrome - ataxia,192871008,297106010,,32
5009201000006111,20,^ESCTAC500920,,Acute trigeminal herpes zoster,230536009,345442014,,31
5009871000006116,50,^ESCTIN500987,,Intercostal post-herpetic neuralgia,230597003,345521010,,32
5074551000006118,6,^ESCTHE507455,,Herpes zoster infection of oral mucosa,235059009,352274015,,31
5124621000006115,1,^ESCTZO512462,,Zosteriform lichen planus,238648000,357691018,,31
5148171000006119,200,^ESCTTH514817,,Thoracic herpes zoster infection,240470005,360207016,,31
5148181000006116,50,^ESCTLU514818,,Lumbar herpes zoster infection,240471009,360208014,,31
5148191000006118,9,^ESCTMA514819,,Maxillary herpes zoster infection,240472002,360209018,,31
5148201000006115,3,^ESCTMA514820,,Mandibular herpes zoster infection,240473007,360210011,,31
5148211000006117,3,^ESCTMU514821,,Multidermatomal herpes zoster infection,240474001,360211010,,31
5419611000006115,20,^ESCTVA541961,,Varicella-zoster virus antibody,259858000,387004011,,31
5989241000006119,1000,^ESCTVA598924,,Varicella-zoster virus infection,309465005,452901015,,32
6589131000006113,400,^ESCTHE658913,,Herpes zoster keratitis,397573005,1777194010,,32
6896151000006110,1,^ESCTVA689615,,Varicella-zoster virus eyelid dermatitis,416718008,2549244015,,32
6964781000006118,1,^ESCTHE696478,,Herpes zoster retinitis,421029004,2616406019,,31
6990471000006119,1,^ESCTHE699047,,Herpes zoster acute retinal necrosis,422471006,2645759016,,31
7024711000006112,4,^ESCTCO702471,,Corneal haze due to herpes zoster,424353002,2645762018,,31
7033231000006113,60,^ESCTHE703323,,Herpes zoster corneal endotheliitis,424801004,3030161013,,32
7033251000006118,3,^ESCTHE703325,,Herpes zoster corneal endothelialitis,424801004,3029191017,,32
7576331000006114,1,^ESCTVA757633,,Varicella zoster virus IgG antibody,703486008,3008778012,,31
9871621000006119,1,^ESCTKE987162,,Keratitis of right eye due to herpes zoster,15992271000119100,3332381014,,31
13714841000006118,1,^ESCT1371484,,Herpes zoster conjunctivitis of right eye,15989271000119107,3770458019,,31
14012841000006111,1,^ESCT1401284,,Bilateral herpes zoster keratitis,15992351000119104,3944832014,,31
