medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
10808019,200000,F4A,F4A..00,Keratitis,5888003,10808019,,32
13244016,600,F4A03,F4A0300,Central corneal ulcer,7426009,13244016,,32
21608010,700,F4A22,F4A2200,Nummular keratitis,12570008,21608010,,32
24420011,1000,F4A33,F4A3300,Exposure keratitis,14366000,1221085016,,32
29014019,100,F4A51,F4A5100,Diffuse interstitial keratitis,17157001,29014019,,32
46674018,100,F4A52,F4A5200,Sclerosing keratitis,417290008,2548241017,,32
50111015,20000,A5442,A544200,Herpes simplex dendritic keratitis,29943008,50111015,,32
63738018,20,A9843,A984300,Gonococcal keratitis,40149008,63738018,,32
65872016,200,F4A23,F4A2300,Striate keratitis,39281000,65872016,,32
70919018,10000,F4A21,F4A2100,Punctate keratitis,42513006,70919018,,32
70920012,2000,F4A21-2,F4A2112,Thygeson's superficial punctate keratitis,42513006,70919018,,32
74345010,70,A903,A903.00,Syphilitic interstitial keratitis,44568006,74345010,,32
77683012,1000,F4A06,F4A0600,Perforated corneal ulcer,46606001,77683012,,32
79026014,5000,F4A01,F4A0100,Marginal corneal ulcer,47398006,79026014,,32
85429013,3000,F4A25,F4A2500,Filamentary keratitis,51286002,85429013,,32
98860016,10000,A5443,A544300,Herpes simplex disciform keratitis,59523007,98860016,,32
99703019,30,A55x0,A55x000,Measles keratoconjunctivitis,60013002,99703019,,32
100591015,100,A771,A771.00,Epidemic keratoconjunctivitis,60548004,100591015,,32
106990017,4000,F4A53,F4A5300,Corneal abscess,64366002,106990017,,32
112783010,3000,F4A30,F4A3000,Phlyctenular keratoconjunctivitis,67895005,112783010,,32
127966019,500,F4A34,F4A3400,Neurotrophic keratoconjunctivitis,77080005,127966019,,32
131348017,30,A1732,A173200,Tuberculous interstitial keratitis,79158003,131348017,,32
146137017,30000,F4A-1,F4A..11,Keratoconjunctivitis,88151007,146137017,,32
151604014,100000,F4A0,F4A0.00,Corneal ulcer,91514001,151604014,,32
178764014,100,F4A02,F4A0200,Ring corneal ulcer,111520007,178764014,,32
251656017,3000,1485,1485.00,H/O: corneal ulcer,161491001,251656017,,32
286321017,30,A1734,A173400,Tuberculous keratoconjunctivitis,186267004,286321017,,32
286948013,3000,A776,A776.00,Keratoconjunctivitis due to adenovirus,186678004,286948013,,32
298318010,2000,F4A00,F4A0000,Unspecified corneal ulcer,91514001,151604014,,32
298324016,4000,F4A0z,F4A0z00,Corneal ulcer NOS,91514001,151604014,,32
298325015,20000,F4A0-1,F4A0.11,Dendritic ulcer,193764001,298325015,,32
298326019,500,F4A2,F4A2.00,Other superficial keratitis without conjunctivitis,15250008,25884018,,32
298327011,1000,F4A20,F4A2000,Superficial keratitis,27019000,45191012,,32
298333019,200,F4A24,F4A2400,Macular keratitis NOS,15250008,25884018,,32
298334013,300,F4A28,F4A2800,Photokeratitis,1714005,3966015,,32
298335014,100,F4A2z,F4A2z00,Other superficial keratitis without conjunctivitis NOS,15250008,25884018,,32
298336010,2000,F4A3,F4A3.00,Specific keratoconjunctivitis,88151007,146137017,,32
298341019,1000,F4A32,F4A3200,Keratoconjunctivitis sicca (excluding Sjogren's syndrome),193776001,298341019,,32
