medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
105082012,400,P3401,P340100,Congenital keratoconus,63216003,105082012,,32
109043017,100000,F4B6,F4B6.00,Keratoconus,65636009,109043017,,32
298439016,1000,F4B60,F4B6000,Unspecified keratoconus,65636009,109043017,,32
298440019,500,F4B61,F4B6100,Keratoconus, stable condition,193844000,298440019,,32
298442010,3000,F4B6z,F4B6z00,Keratoconus NOS,65636009,109043017,,32
4196841000006118,10,^ESCTAC419684,,Acute hydrops keratoconus,111523009,178767019,,32
7533091000006118,2,^ESCTUN753309,,Unstable keratoconus,700281002,2989994012,,31
13989391000006112,1,^ESCT1398939,,Left unstable keratoconus,340151000119101,3956194019,,31
13991691000006116,1,^ESCT1399169,,Bilateral unstable keratoconus of eyes,345511000119103,3957932012,,31
13991711000006118,5,^ESCT1399171,,Bilateral unstable keratoconus,345511000119103,3957905019,,31
13991731000006112,1,^ESCT1399173,,Bilateral stable keratoconus of eyes,345521000119105,3957920013,,31
13991751000006117,1,^ESCT1399175,,Stable keratoconus of bilateral eyes,345521000119105,3957922017,,31
