medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
5303018,40,A0222,A022200,Salmonella pneumonia,2523007,5303018,,32
12652015,10,H5302,H530200,Gangrenous pneumonia,7063008,12652015,,32
13455018,20,H571,H571.00,Rheumatic pneumonia,7548000,13455018,,32
52762016,1000,H5401,H540100,Hypostatic bronchopneumonia,31561003,52762016,,32
56816017,6000,H223,H223.00,Streptococcal pneumonia,34020007,56817014,,32
69026013,900,H221,H221.00,Pseudomonal pneumonia,41381004,69027016,,32
71209014,30,H56y0,H56y000,Endogenous lipoid pneumonia,42680007,71209014,,32
78272011,2000,H231-99,H231.99,Mycoplasma pneumonia,46970008,78272011,,32
107173015,2000,H220,H220.00,Pneumonia due to Klebsiella pneumoniae,64479007,107173015,,32
107470010,6000,H56y1,H56y100,Interstitial pneumonia,64667001,107470010,,32
125510013,40000,H20,H20..00,Viral pneumonia,75570004,125510013,,32
130901018,5000,Q310,Q310.00,Congenital pneumonia,78895009,130901018,,32
132731014,400,A116,A116.00,Tuberculous pneumonia,80003002,132731014,,32
134668017,300,A730,A730.00,Ornithosis with pneumonia,81164001,134668017,,32
141663013,900,H5400,H540000,Hypostatic pneumonia,85469005,141663013,,32
251712010,200000,14B2,14B2.00,H/O: pneumonia,161525004,251712010,,32
287618016,8,AB405,AB40500,Histoplasma capsulatum with pneumonia,38699009,64397019,,32
287630010,3,AB415,AB41500,Histoplasma duboisii with pneumonia,187052004,287630010,,32
287639011,4,AB4z5,AB4z500,Histoplasmosis with pneumonia,442094008,2819039014,,32
294997017,500,A551,A551.00,Postmeasles pneumonia,191727003,294997017,,32
301357010,80000,H2,H2...00,Pneumonia and influenza,195878008,301357010,,32
301362011,1000,H201,H201.00,Pneumonia due to respiratory syncytial virus,195881003,301362011,,32
301363018,6000,H20y,H20y.00,Viral pneumonia NEC,75570004,125510013,,32
301364012,4000,H20z,H20z.00,Viral pneumonia NOS,75570004,125510013,,32
301368010,10000,H22,H22..00,Other bacterial pneumonia,53084003,88303013,,32
301370018,400,H22y,H22y.00,Pneumonia due to other specified bacteria,53084003,88303013,,32
301375011,20000,H22yz,H22yz00,Pneumonia due to bacteria NOS,53084003,88303013,,32
301376012,30000,H22z,H22z.00,Bacterial pneumonia,53084003,88303013,,32
301377015,4000,H23,H23..00,Pneumonia due to other specified organisms,312342009,456043010,,32
