medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
2432010,100000,F4K0-1,F4K0.11,Episcleritis,815008,2432010,,32
19639014,10,A950,A950.00,Syphilitic episcleritis,11338007,19639014,,32
52155016,200,F4K01,F4K0100,Episcleritis periodica fugax,31166000,52155016,,32
105477014,3000,F4K03,F4K0300,Anterior scleritis,63454000,105477014,,32
117201018,5000,F4K02,F4K0200,Nodular episcleritis,70558001,117201018,,32
130057013,20000,F4K0-2,F4K0.12,Scleritis,78370002,130057013,,32
139795018,100,A1731,A173100,Tuberculous episcleritis,84288007,139795018,,32
151783012,40,F4K06,F4K0600,Brawny scleritis,91612009,151783012,,32
298859012,4000,F4K00,F4K0000,Unspecified scleritis,78370002,130057013,,32
298867016,3000,F4K0z,F4K0z00,Scleritis or episcleritis NOS,267659002,399488011,,32
399488011,30000,F4K0,F4K0.00,Scleritis and episcleritis,267659002,399488011,,32
399489015,1000,F4K07,F4K0700,Posterior scleritis,267660007,399489015,,32
425741000006117,10,FyuD8,FyuD800,[X]Scleritis+episcleritis in diseases CE,231872000,347456010,,32
883591000006116,4000,F4K0-99,F4K0.99,Scleritis/episcleritis,267659002,883591000006116,,32
3988461000006118,6,^ESCTDI398846,,Diffuse scleritis,91612009,1235694013,,32
4052691000006113,10,^ESCTNO405269,,Nodular scleritis,95195003,157695012,,31
4062381000006113,2,^ESCTNE406238,,Necrotising scleritis,95797003,512301017,,31
5028671000006115,9,^ESCTSI502867,,Simple episcleritis,231873005,347457018,,31
6047241000006112,4,^ESCTDI604724,,Diffuse episcleritis,314549003,458924018,,31
7710471000006111,2,^ESCTSE771047,,Sectoral episcleritis,713853007,3297836010,,31
13987101000006113,2,^ESCT1398710,,Nodular episcleritis of right eye,333651000119103,3970322013,,31
