medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
151281010,200000,A38z-1,A38z.11,Sepsis,91302008,151281010,,32
286481019,600,A3800,A380000,Septicaemia due to streptococcus, group A,449504009,2900360014,,32
286484010,900,A3801,A380100,Septicaemia due to streptococcus, group B,448419003,2900357019,,32
286489017,10,A3802,A380200,Septicaemia due to streptococcus, group D,448420009,2900358012,,32
286497012,1000,A3810,A381000,Septicaemia due to Staphylococcus aureus,448417001,2900354014,,32
286501019,200,A3811,A381100,Sepsis due to coagulase negative Staphylococcus,449505005,2900363011,,32
286511014,700,A38y,A38y.00,Other specified septicaemias,91302008,151276018,,32
291664017,70000,A38,A38..00,Septicaemia,91302008,151281010,,32
360178015,100,A3830,A383000,Fusobacterial necrotising tonsillitis,240444009,360178015,,32
360179011,600,A3830-1,A383011,Lemierre's syndrome,240444009,360179011,,32
365023014,3000,A381,A381.00,Staphylococcal septicaemia,447894003,2900059011,,32
395333017,8000,A38z,A38z.00,Septicaemia NOS,91302008,151281010,,32
454280014,400,A3803,A380300,Septicaemia due to streptococcus pneumoniae,448421008,2900359016,,32
454282018,500,A3804,A380400,Septicaemia due to enterococcus,310669007,454282018,,32
484332018,2000,A380,A380.00,Streptococcal septicaemia,448418006,2900355010,,32
509175013,3000,A382,A382.00,Pneumococcal septicaemia,448421008,2900359016,,32
510257017,3000,A3842,A384200,Sepsis due to Escherichia coli,447899008,2900064010,,32
1206286018,300,A3841,A384100,Haemophilus influenzae septicaemia,447685007,2898280014,,32
1216098010,90,A383,A383.00,Septicaemia due to anaerobes,447843005,2899125019,,32
1216989010,50,A3844,A384400,Serratia septicaemia,449084002,2898811013,,32
1217028013,500,A3843,A384300,Sepsis due to Pseudomonas,448813005,2899974019,,32
2532525012,100,A3805,A380500,Vancomycin resistant enterococcal septicaemia,310649002,454258011,,32
28961000006118,70,A384z,A384z00,Other gram negative septicaemia NOS,449082003,2898809016,,32
149081000006113,400,A384,A384.00,Septicaemia due to other gram negative organisms,449082003,2898809016,,32
633541000006114,3000,A3842-1,A384211,E.coli septicaemia,447899008,2900064010,,32
806571000006110,1000,A3840,A384000,Gram negative septicaemia NOS,449082003,2898809016,,32
