medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
7551011,900,A16,A16..00,Tuberculosis of genitourinary system,4445009,1230097015,,32
13280016,10,A14y4,A14y400,Tuberculosis of rectum,7444001,13280016,,32
18908019,4000,A1722,A172200,Tuberculous adenitis,10893003,18908019,,32
20174015,9,A1302,A130200,Tuberculous leptomeningitis,11676005,20174015,,32
20683012,9000,65Y9,65Y9.00,Inactive tuberculosis,11999007,20683012,,9
20900014,200,A14y2,A14y200,Tuberculosis of small intestine,12137005,20900014,,32
24141013,1000,A151,A151.00,Tuberculosis of hip,14188007,476139013,,32
24683016,300,A1201,A120100,Tuberculous empyema,14527007,24683016,,32
27784014,40,A14y5,A14y500,Tuberculosis of retroperitoneal lymph nodes,16409009,27784014,,32
28980013,700,A152,A152.00,Tuberculosis of knee,17136009,1221477016,,32
34267015,30,A1650,A165000,Tuberculosis of prostate,20372007,34267015,,32
38677017,2000,A115,A115.00,Tuberculous bronchiectasis,23022004,38677017,,32
40681016,200,A1202,A120200,Tuberculous hydrothorax,24235005,40681016,,32
43134017,200,A15-3,A15..13,Tuberculous synovitis,25738004,43134017,,32
43285015,7,A12y2,A12y200,Tuberculosis of nasal septum,25831001,43285015,,32
45053014,50,A175,A175.00,Tuberculosis of thyroid gland,26935004,45053014,,32
49747014,200,A117,A117.00,Tuberculous pneumothorax,29731002,49747014,,32
52073015,400,A1303,A130300,Tuberculous meningoencephalitis,31112008,52073015,,32
53904019,300,A161,A161.00,Tuberculosis of bladder,32268008,53904019,,32
56584015,50,A1708,A170800,Tuberculosis verrucosa cutis,33893009,56584015,,32
57296016,30,A1361,A136100,Tuberculous myelitis,34320001,57296016,,32
59375015,600,A1671,A167100,Tuberculous endometritis,35585004,59375015,,32
61306015,30,A272z-1,A272z11,Pseudotuberculosis,83436008,138391019,,32
61952018,30,A1601,A160100,Tuberculous pyelitis,37133005,61952018,,32
62169019,30,Q4024,Q402400,Congenital tuberculosis,37260006,62169019,,32
63627011,100,A1652,A165200,Tuberculosis of testis,40258005,63627011,,32
64199010,200,A14y1,A14y100,Tuberculosis of large intestine,38420005,64199010,,32
64723010,400,A1301,A130100,Tuberculosis of spinal meninges,38115001,64723010,,32
65908017,9,A14y0,A14y000,Tuberculosis of anus,39306006,65908017,,32
68651015,20,A1707,A170700,Tuberculosis papulonecrotica,41156006,68651015,,32
73938014,1000,A160,A160.00,Tuberculosis of kidney,44323002,73938014,,32
73939018,1000,A160-1,A160.11,Renal tuberculosis,44323002,73939018,,32
74349016,1000,A140,A140.00,Tuberculous peritonitis,44572005,74349016,,32
79348014,3000,A18,A18..00,Miliary tuberculosis,47604008,79348014,,32
81815010,300,A173,A173.00,Tuberculosis of eye,49107007,81815010,,32
82550012,300,A1661,A166100,Tuberculous salpingitis,49558004,82550012,,32
87729013,10,A12y3,A12y300,Tuberculosis of nasal sinus,52721006,87729013,,32
93954019,20,A12y1,A12y100,Tuberculosis of nasopharynx,56498009,93954019,,32
94320019,200000,A1,A1...00,Tuberculosis,56717001,94320019,,32
97107015,3000,A130,A130.00,Tuberculous meningitis,58437007,97107015,,32
104401018,100,A1670,A167000,Tuberculous cervicitis,62819009,104401018,,32
105237015,7000,A10,A10..00,Primary tuberculous infection,63309002,105237015,,32
108231015,70,A1602,A160200,Tuberculous pyelonephritis,44323002,3320164011,,32
111268016,50,A1705,A170500,Tuberculosis cutis,66986005,111268016,,32
116837013,200,A123,A123.00,Tuberculous laryngitis,70341005,116837013,,32
118567019,100,A154,A154.00,Tuberculous mastoiditis,71375000,118567019,,32
123534017,1000,A1210,A121000,Tuberculosis of hilar lymph nodes,74387008,123534017,,32
123913018,200,A1711,A171100,Tuberculous erythema nodosum,74610006,123913018,,32
127902015,1000,A172,A172.00,Tuberculosis of peripheral lymph nodes,77038006,127902015,,32
128905016,10,A1220,A122000,Isolated tracheal tuberculosis,77668003,128905016,,32
130160016,500,A121,A121.00,Tuberculosis of intrathoracic lymph nodes,78436002,130160016,,32
131348017,30,A1732,A173200,Tuberculous interstitial keratitis,79158003,131348017,,32
132731014,400,A116,A116.00,Tuberculous pneumonia,80003002,132731014,,32
132741012,20,A1221,A122100,Isolated bronchial tuberculosis,80010008,132741012,,32
134962018,20,A162,A162.00,Tuberculosis of ureter,81359005,134962018,,32
136831015,900,A1211,A121100,Tuberculosis of mediastinal lymph nodes,82495004,136831015,,32
138730017,300,A164,A164.00,Tuberculosis of epididymis,83652003,138731018,,32
138939013,300,A12y0,A12y000,Tuberculosis of mediastinum,83784000,138939013,,32
139628019,20,A1660,A166000,Tuberculous oophoritis,84194006,139628019,,32
139795018,100,A1731,A173100,Tuberculous episcleritis,84288007,139795018,,32
142044014,20,A1212,A121200,Tuberculosis of tracheobronchial lymph nodes,85692003,142044014,,32
146495016,900,A100,A100.00,Primary tuberculous complex,88356006,146495016,,32
149374011,1000,A114,A114.00,Tuberculous fibrosis of lung,90117007,149374011,,32
149683011,300,A1300,A130000,Tuberculosis of cerebral meninges,90302003,149683011,,32
151549019,9,F0333-1,F033311,Tuberculous encephalitis,91483004,151549019,,32
239551014,100000,A11,A11..00,Pulmonary tuberculosis,154283005,239551014,,32
251538012,20000,1411,1411.00,H/O: tuberculosis,161414005,251538012,,32
264412013,800,65V9,65V9.00,Notification of tuberculosis,170525009,264412013,,1
264413015,600,65V9-1,65V9.11,TB - tuberculosis notification,170525009,264413015,,1
281631019,300,A19,A19..00,Disseminated tuberculosis,182159002,281631019,,32
282858010,5000,8BAD1,8BAD100,TB chemotherapy,182975000,282858010,,32
286214019,100,A101,A101.00,Tuberculous pleurisy in primary progressive tuberculosis,186172004,286214019,,32
286215018,80,A10y,A10y.00,Primary progressive tuberculosis,111832004,179011011,,32
286216017,700,A10z,A10z.00,Primary tuberculous infection NOS,63309002,105234010,,32
286217014,300,A110,A110.00,Infiltrative lung tuberculosis,186175002,286217014,,32
286219012,900,A112,A112.00,Tuberculosis of lung with cavitation,186177005,286219012,,32
286220018,400,A113,A113.00,Tuberculosis of bronchus,186178000,286220018,,32
286221019,2000,A11y,A11y.00,Other specified pulmonary tuberculosis,154283005,239551014,,32
286222014,6000,A11z,A11z.00,Pulmonary tuberculosis NOS,154283005,239551014,,32
286223016,500,A12,A12..00,Other respiratory tuberculosis,154283005,239551014,,32
286224010,800,A1200,A120000,Tuberculosis of pleura,186182003,286224010,,32
286225011,600,A120,A120.00,Tuberculous pleurisy,186182003,286225011,,32
286230010,100,A120z,A120z00,Tuberculous pleurisy NOS,186182003,286224010,,32
286231014,100,A121z,A121z00,Tuberculosis of intrathoracic lymph nodes NOS,78436002,130160016,,32
286232019,300,A122,A122.00,Isolated tracheobronchial tuberculosis,700273003,2990051010,,32
286235017,10,A122z,A122z00,Isolated tracheal or bronchial tuberculosis NOS,700273003,2990051010,,32
286238015,50,A1241,A124100,Tuberculosis of lung, confirmed by culture only,186194007,286238015,,32
286239011,40,A1242,A124200,Tuberculosis of lung, confirmed histologically,186195008,286239011,,32
286242017,90,A1243,A124300,Tuberculosis of lung, confirmed by unspecified means,154283005,239551014,,32
286252018,100,A12y,A12y.00,Other specified respiratory tuberculosis,154283005,239551014,,32
