medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
12361010,2000,F4403,F440300,Recurrent iridocyclitis,6869001,12361010,,32
16007016,8,A9841,A984100,Gonococcal iridocyclitis,9091006,16007016,,32
18585010,300,A5322,A532200,Herpes zoster iridocyclitis,10698009,18585010,,32
19442013,9000,F4420,F442000,Fuchs' heterochromic cyclitis,11226001,19442013,,32
21698018,300,F4402,F440200,Primary iridocyclitis,12630008,21698018,,32
23218017,100,A5444,A544400,Herpes simplex iridocyclitis,13608004,23218017,,32
50329015,6,A9152,A915200,Secondary syphilitic iridocyclitis,30080002,50329015,,32
72069017,60,C34y3,C34y300,Gouty iritis,43193009,72069017,,32
76191012,1000,F4323-1,F432311,Pars planitis,45688009,76191012,,32
108146018,20000,F4431,F443100,Iritis,65074000,108146018,,32
110078018,30,A9151,A915100,Secondary syphilitic chorioretinitis,66281009,110078018,,32
117050017,10,F4422,F442200,Lens-induced iridocyclitis,410494003,2472152014,,32
125088015,700,F4010,F401000,Sympathetic uveitis,75315001,125088015,,32
125588013,8000,F4011,F401100,Panuveitis,75614007,125588013,,32
129405018,4000,F44-2,F44..12,Iridocyclitis,77971008,129405018,,32
129408016,200000,F4430,F443000,Anterior uveitis,410692006,2472345015,,32
286317012,100,A1730,A173000,Tuberculous chorioretinitis,186263000,286317012,,32
286320016,7,A1733,A173300,Tuberculous chronic iridocyclitis,186266008,286320016,,32
287232010,70,A915,A915.00,Uveitis due to secondary syphilis,186854007,287232010,,32
287233017,50,A9150,A915000,Syphilitic uveitis unspecified,410478005,2472139016,,32
287235012,30,A915z,A915z00,Secondary syphilitic uveitis NOS,410478005,2472139016,,32
287862010,3000,AD02,AD02.00,Toxoplasma chorioretinitis,187194004,287862010,,32
297887018,500,F4300,F430000,Unspecified focal chorioretinitis,15847003,26851010,,32
297891011,20,F4302,F430200,Other posterior pole focal chorioretinitis,15847003,26851010,,32
297895019,100,F430z,F430z00,Focal chorioretinitis or retinochoroiditis NOS,15847003,26851010,,32
297897010,40,F4310,F431000,Unspecified disseminated chorioretinitis,78769001,130709010,,32
297898017,60,F4311,F431100,Disseminated posterior pole chorioretinitis,193442009,297898017,,32
297899013,6,F4312,F431200,Disseminated peripheral chorioretinitis,193443004,297899013,,32
297900015,30,F4313,F431300,General disseminated chorioretinitis,193444005,297900015,,32
297903018,10,F431z,F431z00,Disseminated chorioretinitis and retinochoroiditis NOS,78769001,130709010,,32
297904012,500,F432,F432.00,Other chorioretinitis and retinochoroiditis,46627006,77715016,,32
297907017,6000,F4322,F432200,Posterior uveitis,43363007,72348013,,32
297913014,2000,F432z,F432z00,Other chorioretinitis or retinochoroiditis NOS,46627006,77715016,,32
297958015,2000,F4400,F440000,Unspecified acute iridocyclitis,267618008,399440013,,32
297959011,100,F4401,F440100,Unspecified subacute iridocyclitis,267618008,399440013,,32
297962014,40,F4404,F440400,Secondary infected iridocyclitis,193487008,297962014,,32
297964010,200,F4407,F440700,Diabetic iritis,193489006,297964010,,32
297965011,8000,F440z,F440z00,Acute or subacute iritis NOS,267618008,399440013,,32
297969017,100,F4410,F441000,Unspecified chronic iridocyclitis,77971008,129405018,,32
297970016,70,F4411,F441100,Chronic iridocyclitis due to disease EC,193493000,297970016,,32
297972012,200,F441z,F441z00,Chronic iridocyclitis NOS,77971008,129405018,,32
297973019,40,F442,F442.00,Certain types of iridocyclitis,77971008,129405018,,32
297980017,200,F442z,F442z00,Certain types of cyclitis NOS,77971008,129405018,,32
299456016,200,FyuDC,FyuDC00,[X]Other iridocyclitis,77971008,129405018,,32
299461019,10,FyuDH,FyuDH00,[X]Iridocyclitis in other diseases classified elsewhere,77971008,129405018,,32
299471017,800,FyuF0,FyuF000,Chorioretinitis,46627006,77715016,,32
399440013,30000,F440,F440.00,Acute and subacute iridocyclitis,267618008,399440013,,32
399442017,10000,F443,F443.00,Unspecified iridocyclitis,77971008,129405018,,32
454062010,9000,1486,1486.00,H/O: iritis,310479003,454062010,,32
454197010,200,115C,115C.00,No H/O: Iritis,310595000,454197010,,27
458789018,300,F4323,F432300,Posterior cyclitis,314428001,458789018,,32
1231652019,60,F4303,F430300,Peripheral focal chorioretinitis,56787009,1231652019,,32
1777714015,5000,F441,F441.00,Chronic cyclitis,314429009,2476493011,,32
1786145010,20000,F4412,F441200,Chronic anterior uveitis,398155003,1786145010,,32
2477006014,8000,F441-1,F441.11,Chronic iritis,314429009,458790010,,32
71731000006116,100000,F443-1,F443.11,Uveitis,128473001,206795017,,32
151821000006115,90,F4405,F440500,Secondary noninfected iridocyclitis,193488003,297963016,,32
394511000006113,1,FyuDG,FyuDG00,[X]Iridocyclitis/infectious and parasitic diseases CE,17657000,29837014,,32
625191000006111,300,F431,F431.00,Disseminated chorioretinitis,78769001,130709010,,32
745731000006116,90000,F440-1,F440.11,Acute iritis,29050005,48631012,,32
763071000006113,600,F430,F430.00,Focal chorioretinitis,15847003,26851010,,32
883281000006117,8000,F440-99,F440.99,Acute iritis (iridocyclitis),267618008,883281000006117,,32
