medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
30382015,50,G42y0,G42y000,Pulmonary arteritis,17993000,30382015,,32
35547018,20000,D310,D310.00,Henoch-Schönlein purpura,191306005,2475569010,,32
47484015,600,G674,G674.00,Cerebral arteritis,28366008,47484015,,32
53457013,100000,G76B,G76B.00,Vasculitis,31996006,53457013,,32
87208017,2000,G731,G731.00,Thromboangiitis obliterans,52403007,87208017,,32
87210015,4000,G7310,G731000,Buerger's disease,52403007,87210015,,32
91895012,2000,M152-1,M152.11,Nodular vasculitis,55275006,91895012,,32
100606014,500,G752,G752.00,Hypersensitivity angiitis,60555002,100606014,,32
104572011,100,N012,N012.00,Arthropathy in Behcet's syndrome,62918002,104572011,,32
124653012,10000,G7510,G751000,Kawasaki disease,75053002,124653012,,32
242065019,10000,G750,G750.00,Polyarteritis nodosa,155441006,242065019,,32
286395017,10,A2703,A270300,Listerial cerebral arteritis,186317009,286395017,,32
293373010,900,C3321,C332100,Cryoglobulinaemic vasculitis,190815001,293373010,,32
294337012,100000,D3100,D310000,Henoch-Schonlein purpura,191306005,294337012,,32
297543018,90,F3711,F371100,Polyneuropathy in polyarteritis nodosa,193179000,297543018,,32
297640011,40,F3963,F396300,Myopathy due to polyarteritis nodosa,193249002,297640011,,32
297777014,4000,F421E,F421E00,Retinal vasculitis,77628002,128847018,,32
300503012,90,G731z,G731z00,Thromboangiitis obliterans NOS,52403007,87208017,,32
300565019,300,G75,G75..00,Polyarteritis nodosa and allied conditions,155441006,242065019,,32
300577012,80,G752z,G752z00,Hypersensitivity angiitis NOS,60555002,100606014,,32
300579010,40000,G754,G754.00,Wegener's granulomatosis,195353004,300579010,,32
300584016,2000,G755z,G755z00,Giant cell arteritis NOS,414341000,2534171012,,32
300593015,900,G759,G759.00,Juvenile polyarteritis,195363007,300593015,,32
300596011,10000,G75z,G75z.00,Polyarteritis nodosa and allied conditions NOS,155441006,242065019,,32
300945017,2,Gyu68,Gyu6800,[X]Cerebral arteritis in infectious and parasitic diseases,28366008,47484015,,32
302199015,100,J0725,J072500,Sialoangiitis,196487003,302199015,,32
303849011,20,K01x3,K01x300,Nephrotic syndrome in polyarteritis nodosa,197607004,303849011,,32
304769016,500,K4252,K425200,Ulceration of vulva in Behcet's disease,198231000,304769016,,32
309393014,1000,Myu7G,Myu7G00,[X]Vasculitis limited to skin, unspecified,53312001,88651012,,32
309483018,4,N0121,N012100,Arthropathy in Behcet's syndrome of the shoulder region,201485008,309483018,,32
309484012,1,N0122,N012200,Arthropathy in Behcet's syndrome of the upper arm,201485008,309483018,,32
309485013,1,N0123,N012300,Arthropathy in Behcet's syndrome of the forearm,62918002,104572011,,32
309486014,4,N0124,N012400,Arthropathy in Behcet's syndrome of the hand,201488005,309486014,,32
309488010,2,N0126,N012600,Arthropathy in Behcet's syndrome of the lower leg,62918002,104572011,,32
309489019,2,N0127,N012700,Arthropathy in Behcet's syndrome of the ankle and foot,201491005,309489019,,32
309490011,10,N012x,N012x00,Arthropathy in Behcet's syndrome of multiple sites,201492003,309490011,,32
309491010,1,N012y,N012y00,Arthropathy in Behcet's syndrome of other specified sites,62918002,104572011,,32
309492015,20,N012z,N012z00,Arthropathy in Behcet's syndrome NOS,62918002,104572011,,32
312575016,20,Nyu40,Nyu4000,[X]Other conditions related to polyarteritis nodosa,155441006,242065019,,32
312576015,200,Nyu41,Nyu4100,[X]Other giant cell arteritis,414341000,2534171012,,32
352258013,3000,J08zB,J08zB00,Orofacial granulomatosis,235048000,352258013,,32
354514013,4000,D3101,D310100,Henoch-Schonlein nephritis,236504007,354514013,,32
357845012,1000,M2y02,M2y0200,Livedoid vasculitis,238762002,357845012,,32
359513016,10000,N200,N200.00,Giant cell arteritis with polymyalgia rheumatica,239938009,359513016,,32
395799018,5000,G766,G766.00,Arteritis,52089001,86704014,,32
400165012,300,N0120,N012000,Arthropathy in Behcet's syndrome of unspecified site,62918002,104572011,,32
454287012,40000,AD61,AD61.00,Behcet's syndrome,310701003,454287012,,32
475138012,3000,G757,G757.00,Takayasu's disease,359789008,475138012,,32
475140019,90,G757-1,G757.11,Aortic arch arteritis,359789008,475138012,,32
499415017,100,N0120-1,N012011,Behcet's syndrome arthropathy,62918002,499415017,,32
1779323014,2000,N040N,N040N00,Rheumatoid vasculitis,400054000,1779323014,,32
1779388019,200000,G7551,G755100,Temporal arteritis,400130008,1779388019,,32
1783725016,30,G750-1,G750.11,Necrotising angiitis,239933000,359505017,,32
1787109017,10000,G7550,G755000,Cranial arteritis,400130008,1787109017,,32
2157584018,700,F4A51-1,F4A5111,Cogan's syndrome,405810005,2157584018,,32
2534171012,80000,G755,G755.00,Giant cell arteritis,414341000,2534171012,,32
2955624019,6000,G754-1,G754.11,Granulomatosis with polyangiitis,195353004,2955624019,,32
3441922013,10,^ESCT1164059,,Antineutrophil cytoplasmic antibody (ANCA) positive vasculitis,722191003,3441922013,,31
65971000006112,7000,M2y0X,M2y0X00,Vasculitis of the skin,53312001,88651012,,32
266831000006117,50,F4835-1,F483511,Oculomotor apraxia - Cogan type,405809000,2157583012,,32
370681000006116,20,Gyu69,Gyu6900,[X]Cerebral arteritis in other diseases CE,28366008,47484015,,32
492911000006119,1,N0125,N012500,Arthropathy in Behcet's syndrome of the pelvic region and thigh,201489002,309487017,,32
557151000006115,10000,G758,G758.00,Churg-Strauss syndrome,82275008,136476013,,32
789831000006117,20,G752-1,G752.11,Hypersensitivity arteritis,60555002,100606014,,32
884681000006117,100,G75z-99,G75z.99,Polyarteritis nodosa NOS,643021000000104,884681000006117,,32
990621000006115,10,G750-99,G750.99,Polyarteritis nodosa NOS,155441006,990621000006115,,32
2157271000000115,1000,G75A,G75A.00,Microscopic polyangiitis,829821000000102,2157271000000115,,32
2253891000000112,400,8HTE5,8HTE500,Referral to rapid access temporal arteritis clinic,872591000000109,2253891000000112,,40
2687811000006114,3,^ESCTNE268781,,Necrotising vasculitis,11791001,439889012,,31
3247871000006117,2,^ESCTLY324787,,Lymphocytic vasculitis of skin,46286007,77183013,,31
