searchterms,exclusionterms,searched_in_column,searchmethod
vasculitis,,term,termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)
arteritis,,,
angiitis,,,
kawasaki,,,
takayasu,,,
behcet,,,
cogan,,,
Henoch-Schönlein,,,
Henoch-Schonlein,,,
Schonlein,,,
granulomatosis,,,
Churg-Strauss syndrome,,,
Buerger's disease,,,
