phenotype_name,medcode,ReadcodeDescr,Readcode
Abdominal Hernia,100575,Ventral hernia with gangrene NOS,J330z00
Abdominal Hernia,10139,Primary mesh repair of inguinal hernia,7H11111
Abdominal Hernia,101576,Removal prosthet material fr previous repair ventral hernia,7H18300
Abdominal Hernia,102024,Paraumbilical hernia with gangrene,J320100
Abdominal Hernia,102624,Repair recurrent ventral hernia insert prosthetic material,7H1E100
Abdominal Hernia,102649,Repair of recurrent other hernia of abdominal wall,7H1E.00
Abdominal Hernia,102732,Unspecified Spigelian hernia,J3Cy.00
Abdominal Hernia,10301,Femoral hernia repair NEC,7H13.11
Abdominal Hernia,103310,Repair recur ventral hernia using insert natural material,7H1E000
Abdominal Hernia,103974,Repair of recurrent ventral hernia using sutures,7H1E200
Abdominal Hernia,104452,Obturator hernia with obstruction,J381.00
Abdominal Hernia,105280,Umbilical hernia with gangrene NOS,J320z00
Abdominal Hernia,10544,Lumbar hernia,J37..00
Abdominal Hernia,105998,Repair of recurrent other hernia of abdominal wall NOS,7H1Ez00
Abdominal Hernia,1071,Hernia of abdominal cavity,J3...00
Abdominal Hernia,107386,Perineal hernia,J3D..00
Abdominal Hernia,108492,Simple obturator hernia,J383.00
Abdominal Hernia,108531,Spigelian hernia with gangrene,J3C0.00
Abdominal Hernia,108628,Other specified repair recurrent other hernia abdominal wall,7H1Ey00
Abdominal Hernia,10926,Indirect inguinal hernia,J30..13
Abdominal Hernia,11206,Primary mesh repair of incisional hernia,7H16111
Abdominal Hernia,12246,"Repair of epigastric hernia, unspecified",7H18400
Abdominal Hernia,1225,Umbilical hernia,J32..00
Abdominal Hernia,12842,Repair of other hernia of abdominal wall,7H18.00
Abdominal Hernia,1406,Right inguinal hernia,J303012
Abdominal Hernia,14670,Primary repair of inguinal hernia using sutures,7H11200
Abdominal Hernia,1484,Epigastric hernia,J333211
Abdominal Hernia,15050,Repair of umbilical hernia NOS,7H15z00
Abdominal Hernia,15486,Abdominal cavity hernia NOS,J3z..00
Abdominal Hernia,1559,O/E - hernia,25P..12
Abdominal Hernia,15595,Other specified abdominal cavity hernia NOS,J3yz.00
Abdominal Hernia,15608,Ischiorectal hernia,J36..00
Abdominal Hernia,15680,Repair of recurrent femoral hernia NOS,7H14z00
Abdominal Hernia,15681,Inguinal hernia with obstruction NOS,J301z00
Abdominal Hernia,16913,Inguinal hernia - irreducible,J302.00
Abdominal Hernia,17191,Repair of other ventral hernia,7H18.11
Abdominal Hernia,17898,Simple excision of inguinal hernial sac,7H10.00
Abdominal Hernia,19219,Primary repair inguinal hernia & reduction of sliding hernia,7H11300
Abdominal Hernia,19397,Primary laparoscopic repair of inguinal hernia,7H11600
Abdominal Hernia,20056,Femoral hernia with obstruction,J311.00
Abdominal Hernia,20259,Richter's hernia,J3yz.11
Abdominal Hernia,20280,Unspecified abdominal cavity hernia with obstruction,J3z1.00
Abdominal Hernia,20603,Inguinal hernia NOS,J30z.00
Abdominal Hernia,21284,Repair of recurrent incisional hernia,7H17.00
Abdominal Hernia,21516,Bilateral inguinal hernia - simple,J303200
Abdominal Hernia,21569,Simple ventral hernia,J333.00
Abdominal Hernia,2230,Inguinal hernia with gangrene NOS,J300z00
Abdominal Hernia,22315,Unilateral recurrent inguinal hernia - simple,J303100
Abdominal Hernia,23543,Inguinal hernia unspecified,J30y.00
Abdominal Hernia,23925,Simple paraumbilical hernia,J323100
Abdominal Hernia,244,Repair of other hernia of abdominal wall NOS,7H18z00
Abdominal Hernia,24628,Repair of ventral hernia using sutures,7H18200
Abdominal Hernia,24982,Repair of recurrent inguinal hernia using sutures,7H12200
Abdominal Hernia,25257,Bilateral recurrent inguinal hernia - simple,J303300
Abdominal Hernia,25413,Simple epigastric hernia,J333200
Abdominal Hernia,268,Primary repair of femoral hernia NOS,7H13z00
Abdominal Hernia,26890,Obturator hernia,J38..00
Abdominal Hernia,27469,Sciatic hernia,J3A..00
Abdominal Hernia,27524,Simple umbilical hernia,J323.00
Abdominal Hernia,27607,Unilateral inguinal hernia with obstruction,J301000
Abdominal Hernia,27684,Unilateral inguinal hernia - irreducible,J302000
Abdominal Hernia,27850,Indirect inguinal hernia,J305.00
Abdominal Hernia,28060,Umbilical hernia with obstruction,J321.00
Abdominal Hernia,28117,Umbilical hernia - irreducible,J322.00
Abdominal Hernia,28558,Herniorrhaphy for recurrent inguinal hernia,7H12.11
Abdominal Hernia,2863,Left inguinal hernia,J303011
Abdominal Hernia,28944,Repair of recurrent femoral hernia,7H14.00
Abdominal Hernia,29088,Unilateral recurrent inguinal hernia with obstruction,J301100
Abdominal Hernia,29341,O/E - reducible hernia,25P2.00
Abdominal Hernia,29442,Other specified primary repair of inguinal hernia,7H11y00
Abdominal Hernia,29693,O/E-hernia-cough impulse shown,25P5.00
Abdominal Hernia,29847,O/E - irreducible hernia,25P3.00
Abdominal Hernia,2987,Unspecified abdominal cavity hernia with gangrene,J3z0.00
Abdominal Hernia,30056,Incisional hernia with obstruction,J331100
Abdominal Hernia,31216,O/E - strangulated hernia,25P4.00
Abdominal Hernia,31396,Repair of umbilical hernia using sutures,7H15200
Abdominal Hernia,31694,Ventral hernia unspecified - irreducible,J332000
Abdominal Hernia,3174,Incisional hernia,J33..12
Abdominal Hernia,3200,Repair of recurrent inguinal hernia,7H12.00
Abdominal Hernia,3261,Scrotal hernia,J30..14
Abdominal Hernia,33485,Prim repair inguinal hernia using insert prosthet material,7H11100
Abdominal Hernia,33531,Simple inguinal hernia NOS,J303z00
Abdominal Hernia,3367,Repair of recurrent inguinal hernia NOS,7H12z00
Abdominal Hernia,33696,Repair umbilical hernia using insert of prosthetic material,7H15100
Abdominal Hernia,33743,Endoscopic primary repair of inguinal hernia,7H11400
Abdominal Hernia,33753,Epigastric hernia NOS,J33z200
Abdominal Hernia,34784,Inguinal hernia with obstruction,J301.00
Abdominal Hernia,34915,Bassini repair of inguinal hernia,7H11211
Abdominal Hernia,34987,Other specified primary repair of femoral hernia,7H13y00
Abdominal Hernia,35236,Simple excision of inguinal hernial sac NOS,7H10z00
Abdominal Hernia,35259,Femoral hernia - irreducible,J312.00
Abdominal Hernia,3534,Primary repair of incisional hernia NOS,7H16z00
Abdominal Hernia,35442,Simple inguinal hernia,J303.00
Abdominal Hernia,36265,Ventral hernia - irreducible NOS,J332z00
Abdominal Hernia,36482,Other specified hernias of abdominal cavity,J3y..00
Abdominal Hernia,3651,Bilateral inguinal hernia unspecified,J30y200
Abdominal Hernia,36963,Shouldice repair of inguinal hernia,7H11214
Abdominal Hernia,3742,Primary repair of inguinal hernia,7H11.00
Abdominal Hernia,37796,Other specified repair of other hernia of abdominal wall,7H18y00
Abdominal Hernia,37837,Epigastric hernia with obstruction,J331200
Abdominal Hernia,38101,Herniorrhaphy for recurrent incisional hernia,7H17.11
Abdominal Hernia,3901,Paraumbilical hernia,J32..12
Abdominal Hernia,3952,Ventral hernia,J33..00
Abdominal Hernia,3953,Unspecified paraumbilical hernia,J32y100
Abdominal Hernia,39795,Other specified abdominal cavity hernia - simple,J3y3.00
Abdominal Hernia,40679,Other specified repair of umbilical hernia,7H15y00
Abdominal Hernia,40757,Bubonocele,J30..11
