phenotype_name,medcode,ReadcodeDescr,Readcode
Alcoholic liver disease,100474,Laennec's cirrhosis,J612.12
Alcoholic liver disease,10691,Alcoholic fatty liver,J610.00
Alcoholic liver disease,17330,Alcoholic hepatic failure,J613000
Alcoholic liver disease,21713,Alcoholic fibrosis and sclerosis of liver,J612000
Alcoholic liver disease,3216,Acute alcoholic hepatitis,J611.00
Alcoholic liver disease,4743,Alcoholic cirrhosis of liver,J612.00
Alcoholic liver disease,7602,Chronic alcoholic hepatitis,J617000
Alcoholic liver disease,7885,Alcoholic liver damage unspecified,J613.00
Alcoholic liver disease,7943,Alcoholic hepatitis,J617.00
Alcoholic liver disease,8363,Oesophageal varices in alcoholic cirrhosis of the liver,G852300
