phenotype_name,medcode,ReadcodeDescr,Readcode
Anorectal prolapse,103075,Graham repair for rectal prolapse,7724011.0
Anorectal prolapse,12043,Other abdominal operations for rectal prolapse,7724.00
Anorectal prolapse,12631,Perineal repair of rectal prolapse NEC,7727500.0
Anorectal prolapse,14911,Rectal prolapse NOS,J571z00
Anorectal prolapse,16283,Complete rectal prolapse,J571100
Anorectal prolapse,19187,Anal prolapse,J571200
Anorectal prolapse,19311,Excision of mucosal prolapse of rectum NEC,7727400.0
Anorectal prolapse,24957,Delorme repair of rectum for prolapse,7724y11
Anorectal prolapse,26841,Manual reduction of rectal prolapse,7728400.0
Anorectal prolapse,28627,Perineal operation for rectal prolapse NOS,7727z00
Anorectal prolapse,31821,Procidentia - anus and/or rectum,J571.11
Anorectal prolapse,35094,Other specified perineal operation for rectal prolapse,7727y00
Anorectal prolapse,3631,Partial rectal prolapse,J571000
Anorectal prolapse,36812,Fixation of rectum for prolapse NOS,7723z00
Anorectal prolapse,37454,Fixation of rectum for prolapse,7723.00
Anorectal prolapse,43157,Other specified fixation of rectum for prolapse,7723y00
Anorectal prolapse,43713,Partial excision of rectum and sigmoid colon for prolapse,7720.00
Anorectal prolapse,47689,Proctoptosis,J571.12
Anorectal prolapse,51159,Thiersch wiring for prolapse of rectum,7727011.0
Anorectal prolapse,51487,Reduction of prolapsed rectum NEC,7726400.0
Anorectal prolapse,52489,Insertion of sponge for rectal prolapse,7723500.0
Anorectal prolapse,53085,Other abdominal operation for rectal prolapse NOS,7724z00
Anorectal prolapse,55314,Other abdominal operation for rectal prolapse OS,7724y00
Anorectal prolapse,59814,Proctopexy for prolapse of rectum,7723.11
Anorectal prolapse,60050,Insertion of Wells sponge for rectal prolapse,7723511.0
Anorectal prolapse,61896,Proctopexy for prolapse of rectum,7723400.0
Anorectal prolapse,646,Rectal prolapse,J571.00
Anorectal prolapse,65586,Partial excision of rectum and sigmoid colon for prolapse OS,7720y00
Anorectal prolapse,65638,Roscoe repair for rectal prolapse,7724012.0
Anorectal prolapse,66421,Erickman repair of prolapse of rectum,7723411.0
Anorectal prolapse,68666,Partial excision of rectum & sigmoid colon for prolapse NOS,7720z00
Anorectal prolapse,7782,Rectopexy for prolapse,7723.12
Anorectal prolapse,84397,Rectal mucosa prolapse,J579.00
Anorectal prolapse,8462,Perineal operations for rectal prolapse,7727.00
