medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
100107,health education - asthma self management,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
100397,asthma control questionnaire,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
10043,asthma annual review,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
100509,under care of asthma specialist nurse,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
100740,health education - structured asthma discussion,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102170,asthma review using roy colleg of physicians three questions,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102209,mini asthma quality of life questionnaire,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102301,asthma trigger - seasonal,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102341,asthma trigger - pollen,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102395,asthma causes symptoms most nights,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102400,asthma causes night time symptoms 1 to 2 times per week,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102449,asthma trigger - respiratory infection,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102713,asthma limits activities 1 to 2 times per month,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
10274,asthma medication review,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102871,asthma trigger - exercise,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102888,asthma limits activities 1 to 2 times per week,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
102952,asthma trigger - warm air,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
103318,health education - structured patient focused asthma discuss,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
103321,asthma trigger - animals,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
103612,asthma never causes night symptoms,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103631,royal college physician asthma assessment 3 question score,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103813,asthma trigger - cold air,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103944,asthma trigger - airborne dust,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103945,asthma trigger - damp,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103952,asthma trigger - emotion,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103955,asthma trigger - tobacco smoke,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
103998,asthma limits activities most days,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
10487,asthma - currently active,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
105420,asthma self-management plan review,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
105674,asthma self-management plan agreed,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
106805,chronic asthma with fixed airflow obstruction,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
107167,number days absent from school due to asthma in past 6 month,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': ''}"
11022,Asthma trigger,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
11370,asthma confirmed,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
11387,refuses asthma monitoring,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': ''}"
11673,excepted from asthma quality indicators: patient unsuitable,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': '', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': ''}"
11695,excepted from asthma quality indicators: informed dissent,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': '', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': ''}"
1208,Childhood asthma,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
12987,late-onset asthma,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
13064,asthma severity,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
13065,moderate asthma,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': 'Y', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': '', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
13066,asthma - currently dormant,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': '', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': ''}"
13173,Asthma not disturbing sleep,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
13174,Asthma not limiting activities,Med codes,C2424,6248,Asthma Primary care -  4,PH782,2206,Asthma Primary care,"{'Breathe recommended': 'Y', 'Nissen, F., et al (2017). (Specific Asthma Codes)': '', 'Nissen, F., et al (2017). (Non-specific Asthma Codes)': 'Y', 'Nissen, F.,et al (2017). (Asthma)': 'Y'}"
