medcode,readcode,desc
1276,E140.12,Autism
2950,Eu84500,[X]Asperger's syndrome
3637,Eu84000,[X]Childhood autism
7302,E140.13,Childhood autism
9982,Eu84011,[X]Autistic disorder
22098,E140.00,Infantile autism
24044,Eu84100,[X]Atypical autism
24062,Eu84111,[X]Atypical childhood psychosis
26343,1J9..00,Suspected autism
34174,Eu84112,[X]Mental retardation with autistic features
36662,E140z00,Infantile autism NOS
43444,E140.11,Kanner's syndrome
50337,Eu84012,[X]Infantile autism
51375,Eu84511,[X]Autistic psychopathy
59285,Eu84512,[X]Schizoid disorder of childhood
61304,Eu84013,[X]Infantile psychosis
63251,E140000,Active infantile autism
69016,E140100,Residual infantile autism
110478,Eu84014,[X]Kanner's syndrome
