readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
B161100,52537,malignant neoplasm of hepatic duct,C25,,,,1,,,,,,,,,,,
B17..00,8166,malignant neoplasm of pancreas,C25,,,,1,,,,,,,,,,,
B170.00,8771,malignant neoplasm of head of pancreas,C25,,,,1,,,,,,,,,,,
B171.00,40810,malignant neoplasm of body of pancreas,C25,,,,1,,,,,,,,,,,
B172.00,39870,malignant neoplasm of tail of pancreas,C25,,,,1,,,,,,,,,,,
B173.00,35535,malignant neoplasm of pancreatic duct,C25,,,,1,,,,,,,,,,,
B174.00,35795,malignant neoplasm of islets of langerhans,C25,,,,1,,,,,,,,,,,
B175.00,97875,"malignant neoplasm, overlapping lesion of pancreas",C25,,,,1,,,,,,,,,,,
B17y.00,48537,malignant neoplasm of other specified sites of pancreas,C25,,,,1,,,,,,,,,,,
B17y000,96635,malignant neoplasm of ectopic pancreatic tissue,C25,,,,1,,,,,,,,,,,
B17yz00,95783,malignant neoplasm of specified site of pancreas nos,C25,,,,1,,,,,,,,,,,
B17z.00,34388,malignant neoplasm of pancreas nos,C25,,,,1,,,,,,,,,,,
BB5B100,63102,[m]islet cell carcinoma,C25,,,,1,,,,,,,,,,,
BB5B300,95609,"[m]insulinoma, malignant",C25,,,,1,,,,,,,,,,,
BB5B500,32294,"[m]glucagonoma, malignant",C25,,,,1,,,,,,,,,,,
BB5B600,98825,[m]mixed islet cell and exocrine adenocarcinoma,C25,,,,1,,,,,,,,,,,
BB5C100,49629,"[m]gastrinoma, malignant",C25,,,,1,,,,,,,,,,,
