phenotype_name,medcode,ReadcodeDescr,Readcode
Cerebral Palsy,100627,Congenital suprabulbar paresis,F23y511
Cerebral Palsy,104498,Cerebral palsy,F2B..00
Cerebral Palsy,104580,Spastic quadriplegic cerebral palsy,F2B0.00
Cerebral Palsy,104654,Cerebral palsy NOS,F2Bz.00
Cerebral Palsy,104775,Spastic diplegic cerebral palsy,F230111
Cerebral Palsy,104782,Other cerebral palsy,F2By.00
Cerebral Palsy,104828,Flaccid infantile cerebral palsy,F23y100
Cerebral Palsy,105133,Spastic hemiplegic cerebral palsy,F2B1.00
Cerebral Palsy,107551,Choreoathetoid cerebral palsy,F23y600
Cerebral Palsy,107844,Gross Motor Function Classification System Cerebral Palsy,38Gw.00
Cerebral Palsy,12666,Other infantile cerebral palsy NOS,F23yz00
Cerebral Palsy,15530,Congenital spastic cerebral palsy,F23..11
Cerebral Palsy,16956,"Cerebral palsy, not congenital or infantile, acute",G669.00
Cerebral Palsy,16977,Athetoid cerebral palsy,F137000
Cerebral Palsy,2019,Infantile hemiplegia NOS,F234.00
Cerebral Palsy,2069,Congenital cerebral palsy,F23..00
Cerebral Palsy,21249,Congenital quadriplegia,F232.00
Cerebral Palsy,21548,Ataxic infantile cerebral palsy,F23y000
Cerebral Palsy,25324,Congenital diplegia,F230.00
Cerebral Palsy,25570,Spastic cerebral palsy,F23y200
Cerebral Palsy,27966,Congenital hemiplegia,F231.00
Cerebral Palsy,28306,Congenital cerebral palsy NOS,F23z.00
Cerebral Palsy,33925,Congenital monoplegia,F233.00
Cerebral Palsy,37160,Congenital paraplegia,F230000
Cerebral Palsy,39971,Littles disease,F23..13
Cerebral Palsy,42406,Athetosis - congenital,F137.12
Cerebral Palsy,45551,Congenital diplegia NOS,F230z00
Cerebral Palsy,48126,Tetraplegia - congenital,F232.11
Cerebral Palsy,49967,Dyskinetic cerebral palsy,F23y300
Cerebral Palsy,52659,Ataxic diplegic cerebral palsy,F23y400
Cerebral Palsy,53178,Other congenital cerebral palsy,F23y.00
Cerebral Palsy,53755,[X]Cerebral palsy and other paralytic syndromes,Fyu9.00
Cerebral Palsy,5512,Cerebral palsy with spastic diplegia,F230100
Cerebral Palsy,55593,Congenital spastic foot,F233.11
Cerebral Palsy,5560,Infantile cerebral palsy,F23..12
Cerebral Palsy,61219,Cerebral atonia,F23..14
Cerebral Palsy,64561,Vogt's disease,F137011
Cerebral Palsy,66314,Congenital athetosis,F137111
Cerebral Palsy,73943,Athetoid cerebral palsy,F137.11
Cerebral Palsy,90520,[X]Other infantile cerebral palsy,Fyu9000
Cerebral Palsy,92598,Double athetosis,F137100
Cerebral Palsy,95132,Worster-Drought syndrome,F23y500
Cerebral Palsy,99040,Paraplegia - congenital,F230.11
