medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
106311,History of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Dementia care plan', 'Readcode': '8CMZ.00'}"
11175,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': '[X]Multi-infarct dementia', 'Readcode': 'Eu01100'}"
11379,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Senile dementia,Alzheimer's type"", 'Readcode': 'Eu00112'}"
12710,History of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Dementia annual review', 'Readcode': '6AB..00'}"
1350,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Senile/presenile dementia', 'Readcode': 'E00..12'}"
15165,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Presenile dementia', 'Readcode': 'E001.00'}"
15249,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Other senile and presenile organic psychoses', 'Readcode': 'E00y.00'}"
16797,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""Alzheimer's disease with early onset"", 'Readcode': 'F110000'}"
18386,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Senile dementia with paranoia', 'Readcode': 'E002000'}"
1916,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Senile dementia', 'Readcode': 'E00..11'}"
1917,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""Alzheimer's disease"", 'Readcode': 'F110.00'}"
19393,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': '[X]Vascular dementia, unspecified', 'Readcode': 'Eu01z00'}"
19477,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': 'Arteriosclerotic dementia', 'Readcode': 'E004.00'}"
