medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
11379,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Senile dementia,Alzheimer's type"", 'Readcode': 'Eu00112'}"
16797,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""Alzheimer's disease with early onset"", 'Readcode': 'F110000'}"
1917,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""Alzheimer's disease"", 'Readcode': 'F110.00'}"
25704,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Presenile dementia,Alzheimer's type"", 'Readcode': 'Eu00011'}"
29386,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Dementia in Alzheimer's disease, unspecified"", 'Readcode': 'Eu00z00'}"
32057,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""Alzheimer's disease with late onset"", 'Readcode': 'F110100'}"
38678,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Dementia in Alzheimer's disease with late onset"", 'Readcode': 'Eu00100'}"
43346,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Primary degen dementia of Alzheimer's type, senile onset"", 'Readcode': 'Eu00113'}"
46762,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Alzheimer's disease type 1"", 'Readcode': 'Eu00111'}"
49263,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Dementia in Alzheimer's disease with early onset"", 'Readcode': 'Eu00000'}"
59122,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Other Alzheimer's disease"", 'Readcode': 'Fyu3000'}"
60059,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Primary degen dementia, Alzheimer's type, presenile onset"", 'Readcode': 'Eu00012'}"
61528,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Alzheimer's disease type 2"", 'Readcode': 'Eu00013'}"
7664,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Dementia in Alzheimer's disease"", 'Readcode': 'Eu00.00'}"
8195,Diagnosis of Dementia,Med codes,C1109,3357,Dementia - Primary care,PH148,296,Dementia,"{'Disease': 'Dementia', 'ReadcodeDescr': ""[X]Alzheimer's dementia unspec"", 'Readcode': 'Eu00z11'}"
