phenotype_name,medcode,ReadcodeDescr,Readcode
Diverticular disease of intestine (acute and chronic),10437,Diverticulitis NOS,J511z00
Diverticular disease of intestine (acute and chronic),10483,Diverticulitis of the colon,J511500
Diverticular disease of intestine (acute and chronic),106340,Perforated diverticulum of small intestine NOS,J512400
Diverticular disease of intestine (acute and chronic),1101,Diverticulosis of the colon,J510500
Diverticular disease of intestine (acute and chronic),12345,Diverticulitis of the duodenum,J511000
Diverticular disease of intestine (acute and chronic),14942,Perforated diverticulum,J512.00
Diverticular disease of intestine (acute and chronic),17105,Divertic dis/both sml+lge intestin without perfor or abscess,J510800
Diverticular disease of intestine (acute and chronic),19935,Diverticulitis unspecified,J511y00
Diverticular disease of intestine (acute and chronic),2044,Bleeding diverticulosis,J510900
Diverticular disease of intestine (acute and chronic),2536,Diverticulosis of the large intestine NOS,J510700
Diverticular disease of intestine (acute and chronic),27444,Diverticulosis of the jejunum,J510100
Diverticular disease of intestine (acute and chronic),31365,Diverticulitis of the small intestine unspecified,J511300
Diverticular disease of intestine (acute and chronic),34164,Excision of diverticulum of colon,7718000.0
Diverticular disease of intestine (acute and chronic),347,Diverticulitis,J511.00
Diverticular disease of intestine (acute and chronic),3538,Diverticulosis of the duodenum,J510000
Diverticular disease of intestine (acute and chronic),3593,Diverticulosis,J510.00
Diverticular disease of intestine (acute and chronic),37588,Perforated diverticulum of duodenum,J512000
Diverticular disease of intestine (acute and chronic),37813,Perforated diverticulum of colon,J512500
Diverticular disease of intestine (acute and chronic),38941,Divertic disease/both sml+lge intestin with perforat+abscess,J512800
Diverticular disease of intestine (acute and chronic),42866,Perforated diverticulum of ileum,J512200
Diverticular disease of intestine (acute and chronic),44647,Diverticulosis of the ileum,J510200
Diverticular disease of intestine (acute and chronic),47924,Diverticulosis of the small intestine unspecified,J510300
Diverticular disease of intestine (acute and chronic),48173,Perforated diverticulum of jejunum,J512100
Diverticular disease of intestine (acute and chronic),48589,Perforated diverticulum of large intestine unspecified,J512600
Diverticular disease of intestine (acute and chronic),49066,Perforated diverticulum unspecified,J512y00
Diverticular disease of intestine (acute and chronic),49084,Diverticulosis unspecified,J510y00
Diverticular disease of intestine (acute and chronic),50313,Perforated diverticulum of large intestine NOS,J512700
Diverticular disease of intestine (acute and chronic),51511,Diverticulitis of the large intestine unspecified,J511600
Diverticular disease of intestine (acute and chronic),53092,Diverticulosis of the large intestine unspecified,J510600
Diverticular disease of intestine (acute and chronic),5686,Diverticular abscess,J513.00
Diverticular disease of intestine (acute and chronic),5857,Diverticular disease,J51..11
Diverticular disease of intestine (acute and chronic),61664,Diverticulitis of the ileum,J511200
Diverticular disease of intestine (acute and chronic),61722,Diverticulitis of the jejunum,J511100
Diverticular disease of intestine (acute and chronic),62979,Diverticulitis of the large intestine NOS,J511700
Diverticular disease of intestine (acute and chronic),68959,Appendicular diverticulum,J23z300
Diverticular disease of intestine (acute and chronic),69918,Perforated diverticulum of intestine NOS,J512z00
Diverticular disease of intestine (acute and chronic),71130,Perforated diverticulum of small intestine unspecified,J512300
Diverticular disease of intestine (acute and chronic),72590,Diverticulitis of the small intestine NOS,J511400
Diverticular disease of intestine (acute and chronic),73334,Diverticulosis of the small intestine NOS,J510400
Diverticular disease of intestine (acute and chronic),7662,Diverticulosis NOS,J510z00
Diverticular disease of intestine (acute and chronic),8322,Diverticula of intestine,J51..00
Diverticular disease of intestine (acute and chronic),9511,Diverticula of the intestine NOS,J51z.00
