medcode,readcode,desc
339,C320.00,Pure hypercholesterolaemia
637,C324.00,Hyperlipidaemia NOS
856,44O6.00,Lipids abnormal
1173,C321.00,Pure hyperglyceridaemia
1983,C325z00,Lipoprotein deficiency NOS
3386,C320000,Familial hypercholesterolaemia
3484,C320.11,Familial hypercholesterolaemia
4833,C322.13,Xanthoma tuberosum
5791,C322.00,Mixed hyperlipidaemia
7447,C320z00,Pure hypercholesterolaemia NOS
12111,8BL1.00,Patient on maximal tolerated lipid lowering therapy
12439,C321000,Hypertriglyceridaemia
14781,44O4.00,Serum lipids high
16290,C325300,A-beta-lipoproteinaemia
16306,C325.00,Lipoprotein deficiencies
16534,C32yz00,Other disorder of lipoid metabolism NOS
16937,8B28.00,Lipid lowering therapy
18708,C32..11,Disorder of cholesterol metabolism
20260,C327z11,"Xanthomatosis, familial"
23125,44O3.00,Serum lipids borderline raised
26019,C320200,"Hyperlipidaemia, group A"
30566,C327.00,Lipidoses
32244,8BG2.00,Lipid lowering therapy indicated
33578,C327311,Primary familial xanthomatosis
33694,ZC2CJ00,Dietary advice for hyperlipidaemia
34146,C325100,Hypo-alpha-lipoproteinaemia
34224,C320300,Low-density-lipoprotein-type (LDL) hyperlipoproteinaemia
34543,8H6E.00,Referral to GP - lipid management
34825,C320100,Hyperbetalipoproteinaemia
35063,C323.00,Hyperchylomicronaemia
37273,C320400,"Fredrickson's hyperlipoproteinaemia, type IIa"
46516,C327200,Niemann-Pick disease
52992,C322.11,Fredrickson type IIb lipidaemia
53091,C320y00,Other specified pure hypercholesterolaemia
54499,C321.11,Fredrickson type IV lipidaemia
55432,C32y400,Lipase deficiency
55855,C320.12,Fredrickson type IIa lipidaemia
58637,4L03.00,Atherogenic lipoprotein phenotype
59095,C320.13,Low density lipoproteinaemia
59564,C322.12,Fredrickson type III lipidaemia
64718,C323.11,Burger - Grute syndrome
66240,Cyu8D00,[X]Other hyperlipidaemia
69609,C325311,Bassen-Kornzweig disease
69881,C323.12,Fredrickson type I lipaemia
70793,C325200,Hypo-beta-lipoproteinaemia
71157,C327z00,Lipidoses NOS
71747,8CR3.00,Hyperlipidaemia clinical management plan
95952,C328.00,Dyslipidaemia
97989,C320500,Familial defective apolipoprotein B-100
99456,C321.12,Very low density lipoprotinaemia
102390,C322000,Familial combined hyperlipidaemia
102958,C320600,Polygenic hypercholesterolaemia
104941,C323.13,Fredrickson type V lipaemia
107252,C329.00,Hypercholesterolaemia
109868,C327300,Wolman disease
