phenotype_name,medcode,ReadcodeDescr,Readcode
Gastritis and duodenitis,10906,Helicobacter gastritis,J154400
Gastritis and duodenitis,1138,Gastritis unspecified,J155.00
Gastritis and duodenitis,11497,Chronic inflammatory gastritis,J151100
Gastritis and duodenitis,11519,Irritant gastritis,J154200
Gastritis and duodenitis,14787,Gastric mucosal hypertrophy,J152.00
Gastritis and duodenitis,14928,Helicobacter gastritis,A074313
Gastritis and duodenitis,15025,Chronic atrophic gastritis,J151000
Gastritis and duodenitis,15348,Bile induced gastritis,J154100
Gastritis and duodenitis,18260,Other specified gastritis NOS,J154z00
Gastritis and duodenitis,18596,[V]Dietary counselling in gastritis,ZV65316
Gastritis and duodenitis,19190,Chronic gastritis NOS,J151z00
Gastritis and duodenitis,25544,Gastroduodenitis unspecified,J156.00
Gastritis and duodenitis,27763,Corrosive gastritis,J154300
Gastritis and duodenitis,2877,Gastric erosions,J11z.11
Gastritis and duodenitis,2936,Chronic gastritis,J151.00
Gastritis and duodenitis,29492,Acute haemorrhagic gastritis,J150000
Gastritis and duodenitis,3341,Gastritis and duodenitis,J15..00
Gastritis and duodenitis,33820,Allergic gastritis,J154000
Gastritis and duodenitis,3462,Duodenal erosion,J123.00
Gastritis and duodenitis,376,Duodenitis,J157.00
Gastritis and duodenitis,38638,Chronic superficial gastritis,J151200
Gastritis and duodenitis,4506,Alcoholic gastritis,J153.00
Gastritis and duodenitis,45769,[X]Other gastritis,Jyu1300
Gastritis and duodenitis,5635,Acute gastritis,J150.00
Gastritis and duodenitis,5858,Other specified gastritis,J154.00
Gastritis and duodenitis,6420,Non-infective gastritis NOS,J4z0.00
Gastritis and duodenitis,73154,[X]Other acute gastritis,Jyu1200
Gastritis and duodenitis,9731,Gastritis and duodenitis NOS,J15z.00
