phenotype_name,medcode,ReadcodeDescr,Readcode
Gastro-oesophageal reflux disease,103564,Antireflux procedure and gastroplasty HFQ,760L400
Gastro-oesophageal reflux disease,1327,Oesophageal reflux,J10y411
Gastro-oesophageal reflux disease,14713,Antireflux fundoplication using thoracic approach,760L000
Gastro-oesophageal reflux disease,15054,Acid reflux,J101111
Gastro-oesophageal reflux disease,16605,Oesophageal reflux with oesophagitis,J101113
Gastro-oesophageal reflux disease,17263,Oesophageal reflux operations,760L.11
Gastro-oesophageal reflux disease,17610,Antireflux fundoplication using abdominal approach,760L200
Gastro-oesophageal reflux disease,18211,Antireflux operations,760L.00
Gastro-oesophageal reflux disease,19111,Laryngopharyngeal reflux,J10y500
Gastro-oesophageal reflux disease,19470,Reflux cough,171J.00
Gastro-oesophageal reflux disease,2281,Acid reflux,J10y413
Gastro-oesophageal reflux disease,2535,Reflux oesophagitis,J101100
Gastro-oesophageal reflux disease,25610,Oesopheal reflux without mention of oesophagitis,J10y400
Gastro-oesophageal reflux disease,28619,Antireflux operation NOS,760Lz00
Gastro-oesophageal reflux disease,34005,Other specified antireflux operation,760Ly00
Gastro-oesophageal reflux disease,45360,Antireflux gastropexy,760L300
Gastro-oesophageal reflux disease,48146,Antireflux gastroplasty,760L311
Gastro-oesophageal reflux disease,51400,Revision of antireflux operations,760M.00
Gastro-oesophageal reflux disease,53657,Antireflux operation using thoracic approach NEC,760L100
Gastro-oesophageal reflux disease,67258,Revision of antireflux operation NOS,760Mz00
Gastro-oesophageal reflux disease,68276,Antireflux procedure using thoracic approach NEC,760L111
Gastro-oesophageal reflux disease,7104,Gastro-oesophageal reflux with oesophagitis,J101112
Gastro-oesophageal reflux disease,7577,Gastric reflux,1957.00
Gastro-oesophageal reflux disease,984,Gastro-oesophageal reflux,J10y412
