readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
B624.00,27330,leukaemic reticuloendotheliosis,C91,,,,,,,,1,,,,,,,
B624.11,5137,leukaemic reticuloendotheliosis,C91,,,,,,,,1,,,,,,,
B624.12,87335,hairy cell leukaemia,C91,,,,,,,,1,,,,,,,
B624000,65122,leukaemic reticuloendotheliosis of unspecified sites,C91,,,,,,,,1,,,,,,,
B624300,65123,leukaemic reticuloend of intra-abdominal lymph nodes,C91,,,,,,,,1,,,,,,,
B624z00,73777,leukaemic reticuloendotheliosis nos,C91,,,,,,,,1,,,,,,,
B64..00,19372,lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
B64..11,4222,lymphatic leukaemia,C91,,,,,,,,1,,,,,,,
B640.00,4251,acute lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
B641.00,8625,chronic lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
B641.11,27790,chronic lymphatic leukaemia,C91,,,,,,,,1,,,,,,,
B641000,104328,b-cell chronic lymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B641011,107017,chronic lymphocytic leukaemia of b-cell type,C91,,,,,,,,1,,,,,,,
B641100,107052,clinical stage a chronic lymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B641200,106924,clinical stage b chronic lymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B641300,107163,clinical stage c chronic lymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B642.00,72774,subacute lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
B64y.00,49725,other lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
B64y100,31586,prolymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B64y200,37461,adult t-cell leukaemia,C91,,,,,,,,1,,,,,,,
B64y300,108656,b-cell prolymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B64y400,107643,t-cell prolymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
B64y411,111627,prolymphocytic leukaemia of t-cell type,C91,,,,,,,,1,,,,,,,
B64y500,104939,adult t-cell lymphoma/leukaemia (htlv-1-associated),C91,,,,,,,,1,,,,,,,
B64yz00,38331,other lymphoid leukaemia nos,C91,,,,,,,,1,,,,,,,
B64z.00,38914,lymphoid leukaemia nos,C91,,,,,,,,1,,,,,,,
B65..00,7176,myeloid leukaemia,C92,,,,,,,,1,,,,,,,
B650.00,4413,acute myeloid leukaemia,C92,,,,,,,,1,,,,,,,
B651.00,10726,chronic myeloid leukaemia,C92,,,,,,,,1,,,,,,,
B651.11,31701,chronic granulocytic leukaemia,C92,,,,,,,,1,,,,,,,
B651100,105957,"chronic myeloid leukaemia, bcr/abl positive",C92,,,,,,,,1,,,,,,,
B651300,107236,"atypical chronic myeloid leukaemia, bcr/abl negative",C92,,,,,,,,1,,,,,,,
B651z00,27520,chronic myeloid leukaemia nos,C92,,,,,,,,1,,,,,,,
B652.00,63475,subacute myeloid leukaemia,C92,,,,,,,,1,,,,,,,
B653.00,70724,myeloid sarcoma,C92,,,,,,,,1,,,,,,,
B653000,52327,chloroma,C92,,,,,,,,1,,,,,,,
B653100,39629,granulocytic sarcoma,C92,,,,,,,,1,,,,,,,
B654.00,104788,acute myeloblastic leukaemia,C92,,,,,,,,1,,,,,,,
B65y100,27664,acute promyelocytic leukaemia,C92,,,,,,,,1,,,,,,,
B65yz00,66089,other myeloid leukaemia nos,C92,,,,,,,,1,,,,,,,
B65z.00,33344,myeloid leukaemia nos,C92,,,,,,,,1,,,,,,,
B66..00,35875,monocytic leukaemia,C93,,,,,,,,1,,,,,,,
B66..11,108715,histiocytic leukaemia,C95,,,,,,,,1,,,,,,,
B66..12,67700,monoblastic leukaemia,C94,,,,,,,,1,,,,,,,
B660.00,19974,acute monocytic leukaemia,C93,,,,,,,,1,,,,,,,
B661.00,27458,chronic monocytic leukaemia,C93,,,,,,,,1,,,,,,,
B662.00,101606,subacute monocytic leukaemia,C93,,,,,,,,1,,,,,,,
B663.00,108424,acute monoblastic leukaemia,C93,,,,,,,,1,,,,,,,
B66y.00,99015,other monocytic leukaemia,C93,,,,,,,,1,,,,,,,
B66yz00,103645,other monocytic leukaemia nos,C93,,,,,,,,1,,,,,,,
B66z.00,93342,monocytic leukaemia nos,C93,,,,,,,,1,,,,,,,
B67..00,37272,other specified leukaemia,C94,,,,,,,,1,,,,,,,
B670.00,42539,acute erythraemia and erythroleukaemia,C94,,,,,,,,1,,,,,,,
B670.11,27340,di guglielmo's disease,C94,,,,,,,,1,,,,,,,
B671.00,37468,chronic erythraemia,C94,,,,,,,,1,,,,,,,
B672.00,57671,megakaryocytic leukaemia,C94,,,,,,,,1,,,,,,,
B672.11,65777,thrombocytic leukaemia,C94,,,,,,,,1,,,,,,,
B673.00,65721,mast cell leukaemia,C94,,,,,,,,1,,,,,,,
B674.00,50858,acute panmyelosis,C94,,,,,,,,1,,,,,,,
B675.00,28276,acute myelofibrosis,C94,,,,,,,,1,,,,,,,
