phenotype_name,medcode,ReadcodeDescr,Readcode
"Liver fibrosis, sclerosis and cirrhosis",100253,Xanthomatous portal cirrhosis,J615C00
"Liver fibrosis, sclerosis and cirrhosis",100474,Laennec's cirrhosis,J612.12
"Liver fibrosis, sclerosis and cirrhosis",100592,Hepatic fibrosis with hepatic sclerosis,J61y600
"Liver fibrosis, sclerosis and cirrhosis",102922,Cystic fibrosis related cirrhosis,C370800
"Liver fibrosis, sclerosis and cirrhosis",108819,Congestive cirrhosis,J615711
"Liver fibrosis, sclerosis and cirrhosis",109540,Zooparasitic portal cirrhosis,J615G00
"Liver fibrosis, sclerosis and cirrhosis",15424,Secondary biliary cirrhosis,J616100
"Liver fibrosis, sclerosis and cirrhosis",1638,Cirrhosis of liver NOS,J615z13
"Liver fibrosis, sclerosis and cirrhosis",16455,Non-alcoholic cirrhosis NOS,J615z00
"Liver fibrosis, sclerosis and cirrhosis",16725,Cirrhosis - non alcoholic,J615.00
"Liver fibrosis, sclerosis and cirrhosis",17330,Alcoholic hepatic failure,J613000
"Liver fibrosis, sclerosis and cirrhosis",18739,Cryptogenic cirrhosis of liver,J615z12
"Liver fibrosis, sclerosis and cirrhosis",19512,Glycogenosis with hepatic cirrhosis,C310400
"Liver fibrosis, sclerosis and cirrhosis",21713,Alcoholic fibrosis and sclerosis of liver,J612000
"Liver fibrosis, sclerosis and cirrhosis",22841,Macronodular cirrhosis of liver,J615z11
"Liver fibrosis, sclerosis and cirrhosis",25383,Hepatic fibrosis,J61y400
"Liver fibrosis, sclerosis and cirrhosis",26319,Oesophageal varices in cirrhosis of the liver,G852200
"Liver fibrosis, sclerosis and cirrhosis",27438,Cardiac portal cirrhosis,J615700
"Liver fibrosis, sclerosis and cirrhosis",3450,Diffuse nodular cirrhosis,J615300
"Liver fibrosis, sclerosis and cirrhosis",40567,Capsular portal cirrhosis,J615600
"Liver fibrosis, sclerosis and cirrhosis",40963,Portal fibrosis without cirrhosis,J61y300
"Liver fibrosis, sclerosis and cirrhosis",44120,Toxic liver disease with fibrosis and cirrhosis of liver,J635600
"Liver fibrosis, sclerosis and cirrhosis",44676,Fatty portal cirrhosis,J615400
"Liver fibrosis, sclerosis and cirrhosis",47257,Portal cirrhosis,J615.11
"Liver fibrosis, sclerosis and cirrhosis",4743,Alcoholic cirrhosis of liver,J612.00
"Liver fibrosis, sclerosis and cirrhosis",48928,Infectious cirrhosis NOS,J615H00
"Liver fibrosis, sclerosis and cirrhosis",55454,Portal cirrhosis unspecified,J615y00
"Liver fibrosis, sclerosis and cirrhosis",58184,Indian childhood cirrhosis,J615812
"Liver fibrosis, sclerosis and cirrhosis",58630,Biliary cirrhosis NOS,J616z00
"Liver fibrosis, sclerosis and cirrhosis",60104,Hepatic sclerosis,J61y500
"Liver fibrosis, sclerosis and cirrhosis",6015,[X]Other and unspecified cirrhosis of liver,Jyu7100
"Liver fibrosis, sclerosis and cirrhosis",68376,Florid cirrhosis,J612.11
"Liver fibrosis, sclerosis and cirrhosis",6863,Cirrhosis and chronic liver disease,J61..00
"Liver fibrosis, sclerosis and cirrhosis",69204,Multilobular portal cirrhosis,J615100
"Liver fibrosis, sclerosis and cirrhosis",71453,Hepatic fibrosis,J615z15
"Liver fibrosis, sclerosis and cirrhosis",73482,Bacterial portal cirrhosis,J615D00
"Liver fibrosis, sclerosis and cirrhosis",7602,Chronic alcoholic hepatitis,J617000
"Liver fibrosis, sclerosis and cirrhosis",7885,Alcoholic liver damage unspecified,J613.00
"Liver fibrosis, sclerosis and cirrhosis",7943,Alcoholic hepatitis,J617.00
"Liver fibrosis, sclerosis and cirrhosis",8206,Pigmentary cirrhosis of liver,C350012
"Liver fibrosis, sclerosis and cirrhosis",8363,Oesophageal varices in alcoholic cirrhosis of the liver,G852300
"Liver fibrosis, sclerosis and cirrhosis",91591,Biliary cirrhosis of children,J616200
"Liver fibrosis, sclerosis and cirrhosis",92909,Hypertrophic portal cirrhosis,J615500
"Liver fibrosis, sclerosis and cirrhosis",9494,Biliary cirrhosis,J616.00
"Liver fibrosis, sclerosis and cirrhosis",96664,Juvenile portal cirrhosis,J615800
