phenotype_name,medcode,ReadcodeDescr,Readcode
Migraine,103451,H/O migraine with aura,1474000.0
Migraine,103502,Migraine with aura,F260.11
Migraine,103602,Migraine without aura,F261.11
Migraine,103973,Migraine induced by oestrogen contraceptive,F262800
Migraine,10583,Ophthalmic migraine,F262400
Migraine,11138,Migraine - menstrual,K584.11
Migraine,11389,Migraine prophylaxis,8B6N.00
Migraine,12511,Ophthalmoplegic migraine,F26y100
Migraine,14700,Migraine NOS,F26z.00
Migraine,161,Migraine,F26..00
Migraine,22685,Status migrainosus,F26y200
Migraine,23621,Migraine variant NOS,F262z00
Migraine,2424,Common migraine,F261.00
Migraine,27930,Complicated migraine,F26y300
Migraine,28031,Other forms of migraine,F26y.00
Migraine,28092,Other forms of migraine NOS,F26yz00
Migraine,2861,Abdominal migraine,F262200
Migraine,3220,Classical migraine,F260.00
Migraine,3658,Hemiplegic migraine,F26y000
Migraine,41497,Common migraine NOS,F261z00
Migraine,5029,H/O: migraine,1474.00
Migraine,53813,[X]Other migraine,Fyu5300
Migraine,5509,Migraine variants,F262.00
Migraine,65262,Moebius' ophthalmoplegic migraine,F26y111
Migraine,9004,Basilar migraine,F262300
Migraine,9633,Atypical migraine,F261000
