phenotype_name,medcode,ReadcodeDescr,Readcode
Motor neuron disease,109020,Amyotrophic lateral sclerosis drugs Band 1,7Q04100
Motor neuron disease,18084,Pseudobulbar palsy,F152300
Motor neuron disease,20120,Motor neurone disease NOS,F152z00
Motor neuron disease,20845,Primary lateral sclerosis,F152400
Motor neuron disease,21889,Anterior horn cell disease,F15..00
Motor neuron disease,27377,Progressive bulbar palsy,F152200
Motor neuron disease,30987,Progressive muscular atrophy,F152100
Motor neuron disease,36433,Amyotrophic lateral sclerosis,F152000
Motor neuron disease,4796,Motor neurone disease,F152.00
Motor neuron disease,58729,Anterior horn cell disease NOS,F15z.00
Motor neuron disease,71400,Other anterior horn cell disease,F15y.00
Motor neuron disease,7470,Duchenne Aran muscular atrophy,F152111
