phenotype_name,medcode,ReadcodeDescr,Readcode
Multiple sclerosis,100503,Multiple sclerosis review declined,8IAb.00
Multiple sclerosis,106307,Multiple sclerosis monitoring administration,9mD..00
Multiple sclerosis,109049,Multiple sclerosis monitoring first letter,9mD0.00
Multiple sclerosis,109302,Multiple sclerosis monitoring second letter,9mD1.00
Multiple sclerosis,20493,Multiple sclerosis NOS,F20z.00
Multiple sclerosis,2298,Exacerbation of multiple sclerosis,F203.00
Multiple sclerosis,23730,Generalised multiple sclerosis,F202.00
Multiple sclerosis,3440,Disseminated sclerosis,F20..11
Multiple sclerosis,40344,Multiple sclerosis of the brain stem,F200.00
Multiple sclerosis,43232,Multiple sclerosis multidisciplinary review,666B.00
Multiple sclerosis,44985,Multiple sclerosis review,666A.00
Multiple sclerosis,48527,Spec serv for pat with multiple sclerosis - enh serv admin,9kG..00
Multiple sclerosis,50161,Multiple sclerosis care plan agreed,8CS1.00
Multiple sclerosis,684,Multiple sclerosis,F20..00
Multiple sclerosis,69886,Multiple sclerosis of the spinal cord,F201.00
Multiple sclerosis,95864,Management of multiple sclerosis in stable disability phase,8Cc2.00
Multiple sclerosis,95972,Relapsing and remitting multiple sclerosis,F207.00
Multiple sclerosis,96246,Secondary progressive multiple sclerosis,F208.00
Multiple sclerosis,96291,Benign multiple sclerosis,F204.00
Multiple sclerosis,96607,Primary progressive multiple sclerosis,F206.00
Multiple sclerosis,97487,Management of multiple sclerosis in early disease phase,8Cc1.00
Multiple sclerosis,98521,Management of multiple sclerosis in palliative phase,8Cc4.00
Multiple sclerosis,98835,Management of multiple sclerosis in onset phase,8Cc0.00
