readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
4C53.00,52946,bone marrow: myeloma cells,C90,,,,,,,1,,,,,,,,
B630.00,4944,multiple myeloma,C90,,,,,,,1,,,,,,,,
B630.11,43552,kahler's disease,C90,,,,,,,1,,,,,,,,
B630.12,15211,myelomatosis,C90,,,,,,,1,,,,,,,,
B630000,22158,"malignant plasma cell neoplasm, extramedullary plasmacytoma",C90,,,,,,,1,,,,,,,,
B630100,19028,solitary myeloma,C90,,,,,,,1,,,,,,,,
B630200,21329,plasmacytoma nos,C90,,,,,,,1,,,,,,,,
B630300,46042,lambda light chain myeloma,C90,,,,,,,1,,,,,,,,
B630400,104418,solitary plasmacytoma,C90,,,,,,,1,,,,,,,,
B631.00,39187,plasma cell leukaemia,C90,,,,,,,1,,,,,,,,
B936.11,43312,myeloma - solitary,C90,,,,,,,1,,,,,,,,
B936.12,38321,plasmacytoma nos,C90,,,,,,,1,,,,,,,,
BBn0.00,31671,[m]plasma cell myeloma,C90,,,,,,,1,,,,,,,,
BBn0.11,18744,[m]multiple myeloma,C90,,,,,,,1,,,,,,,,
BBn0.12,3672,[m]myeloma nos,C90,,,,,,,1,,,,,,,,
BBn0.13,53647,[m]myelomatosis,C90,,,,,,,1,,,,,,,,
BBn0.14,39490,[m]plasmacytic myeloma,C90,,,,,,,1,,,,,,,,
BBn2.00,63864,[m]plasmacytoma nos,C90,,,,,,,1,,,,,,,,
BBn2.11,102164,[m]monostotic myeloma,C90,,,,,,,1,,,,,,,,
BBn2.12,73135,[m]solitary myeloma,C90,,,,,,,1,,,,,,,,
BBn3.00,99702,"[m]plasma cell tumour, malignant",C90,,,,,,,1,,,,,,,,
BBr3.00,64618,[m]plasma cell leukaemias,C90,,,,,,,1,,,,,,,,
BBr3z00,110349,[m]plasma cell leukaemia nos,C90,,,,,,,1,,,,,,,,
N330900,60433,osteoporosis in multiple myelomatosis,C90,,,,,,,1,,,,,,,,
