medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
10562,NSTEMI (4),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute non-ST segment elevation myocardial infarction', 'Readcode': 'G307100'}"
1204,Possible MI or uncertain date (2),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Heart attack', 'Readcode': 'G30..14'}"
12139,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute anterolateral infarction', 'Readcode': 'G300.00'}"
12229,STEMI (3),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute ST segment elevation myocardial infarction', 'Readcode': 'G30X000'}"
13566,Possible MI or uncertain date (2),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Attack - heart', 'Readcode': 'G30..11'}"
13571,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Thrombosis - coronary', 'Readcode': 'G30..16'}"
14658,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute myocardial infarction NOS', 'Readcode': 'G30z.00'}"
14897,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Anterior myocardial infarction NOS', 'Readcode': 'G301z00'}"
14898,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Lateral myocardial infarction NOS', 'Readcode': 'G305.00'}"
15661,Complications of MI (7),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': ""Dressler's syndrome"", 'Readcode': 'G310.11'}"
16408,History of MI (1),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Healed myocardial infarction', 'Readcode': 'G32..11'}"
1677,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'MI - acute myocardial infarction', 'Readcode': 'G30..15'}"
1678,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Inferior myocardial infarction NOS', 'Readcode': 'G308.00'}"
17133,Possible MI or uncertain date (2),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Mural thrombosis', 'Readcode': 'G30A.00'}"
17464,History of MI (1),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Personal history of myocardial infarction', 'Readcode': 'G32..12'}"
17689,Possible MI or uncertain date (2),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Silent myocardial infarction', 'Readcode': 'G30..17'}"
17872,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute anteroseptal infarction', 'Readcode': 'G301100'}"
18842,Subsequent MI (6),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Subsequent myocardial infarction', 'Readcode': 'G35..00'}"
23579,History of MI (1),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Postmyocardial infarction syndrome', 'Readcode': 'G310.00'}"
23708,Complications of MI (7),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Atrial septal defect/curr comp folow acut myocardal infarct', 'Readcode': 'G361.00'}"
23892,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Posterior myocardial infarction NOS', 'Readcode': 'G304.00'}"
241,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute myocardial infarction', 'Readcode': 'G30..00'}"
24126,Complications of MI (7),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Haemopericardium/current comp folow acut myocard infarct', 'Readcode': 'G360.00'}"
2491,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Coronary thrombosis', 'Readcode': 'G30..12'}"
26972,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'ECG:posterior/inferior infarct', 'Readcode': '3234'}"
26975,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'ECG: antero-septal infarct.', 'Readcode': '3233'}"
28736,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute atrial infarction', 'Readcode': 'G30y000'}"
29553,Complications of MI (7),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Thrombosis atrium,auric append&vent/curr comp foll acute MI', 'Readcode': 'G366.00'}"
29643,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute inferoposterior infarction', 'Readcode': 'G303.00'}"
29758,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute transmural myocardial infarction of unspecif site', 'Readcode': 'G30X.00'}"
30330,Acute MI not further specified (5),Med codes,C1297,3733,Myocardial infarction - Primary care,PH215,430,Myocardial infarction,"{'Disease': 'Myocardial infarction', 'ReadcodeDescr': 'Acute Q-wave infarct', 'Readcode': 'G309.00'}"
