readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
4M20.00,60918,lymphoma stage i,C85,,,,,,,,,,,,,1,,1
4M21.00,94935,lymphoma stage ii,C85,,,,,,,,,,,,,1,,1
4M22.00,32240,lymphoma stage iii,C85,,,,,,,,,,,,,1,,1
4M23.00,71672,lymphoma stage iv,C85,,,,,,,,,,,,,1,,1
A789600,44617,hiv disease resulting in burkitt's lymphoma,C83,,,,,,,,,,,,,1,,1
A789700,66367,hiv dis resulting oth types of non-hodgkin's lymphoma,C85,,,,,,,,,,,,,1,,1
AyuC600,69767,[x]hiv disease resulting in other non-hodgkin's lymphoma,C85,,,,,,,,,,,,,1,,1
B60..00,41369,lymphosarcoma and reticulosarcoma,C85,,,,,,,,,,,,,1,,1
B600.00,1481,reticulosarcoma,C83,,,,,,,,,,,,,1,,1
B600000,60242,reticulosarcoma of unspecified site,C83,,,,,,,,,,,,,1,,1
B600100,71031,"reticulosarcoma of lymph nodes of head, face and neck",C83,,,,,,,,,,,,,1,,1
B600300,70374,reticulosarcoma of intra-abdominal lymph nodes,C83,,,,,,,,,,,,,1,,1
B600700,95058,reticulosarcoma of spleen,C83,,,,,,,,,,,,,1,,1
B600z00,99240,reticulosarcoma nos,C83,,,,,,,,,,,,,1,,1
B601.00,27416,lymphosarcoma,C85,,,,,,,,,,,,,1,,1
B601000,71625,lymphosarcoma of unspecified site,C85,,,,,,,,,,,,,1,,1
B601100,71238,"lymphosarcoma of lymph nodes of head, face and neck",C85,,,,,,,,,,,,,1,,1
B601200,62380,lymphosarcoma of intrathoracic lymph nodes,C85,,,,,,,,,,,,,1,,1
B601300,64670,lymphosarcoma of intra-abdominal lymph nodes,C85,,,,,,,,,,,,,1,,1
B601500,100352,lymphosarcoma of lymph nodes of inguinal region and leg,C85,,,,,,,,,,,,,1,,1
B601700,103245,lymphosarcoma of spleen,C83,,,,,,,,,,,,,1,,1
B601800,104790,lymphosarcoma of lymph nodes of multiple sites,C85,,,,,,,,,,,,,1,,1
B601z00,63723,lymphosarcoma nos,C85,,,,,,,,,,,,,1,,1
B602.00,21402,burkitt's lymphoma,C83,,,,,,,,,,,,,1,,1
B602100,59115,"burkitt's lymphoma of lymph nodes of head, face and neck",C83,,,,,,,,,,,,,1,,1
