readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
7G03K00,18270,excision malignant skin tumour,C44,,,,,,1,,,,,,,,,
7G05600,11834,excision biopsy of rodent ulcer,C44,,,,,,1,,,,,,,,,
7G05D00,93402,excision biopsy of basal cell carcinoma,C44,,,,,,1,,,,,,,,,
B004000,73614,"malignant neoplasm of lip unspecified, buccal aspect",C44,,,,,,1,,,,,,,,,
B310300,60035,malignant neoplasm of cartilage of ear,C44,,,,,,1,,,,,,,,,
B33..00,4632,other malignant neoplasm of skin,C44,,,,,,1,,,,,,,,,
B33..11,876,basal cell carcinoma,C44,,,,,,1,,,,,,,,,
B33..13,1940,rodent ulcer,C44,,,,,,1,,,,,,,,,
B33..14,37016,malignant neoplasm of sebaceous gland,C44,,,,,,1,,,,,,,,,
B33..15,40443,malignant neoplasm of sweat gland,C44,,,,,,1,,,,,,,,,
B33..16,3445,epithelioma basal cell,C44,,,,,,1,,,,,,,,,
B330.00,18245,malignant neoplasm of skin of lip,C44,,,,,,1,,,,,,,,,
B331.00,43087,malignant neoplasm of eyelid including canthus,C44,,,,,,1,,,,,,,,,
B331000,36731,malignant neoplasm of canthus,C44,,,,,,1,,,,,,,,,
B331100,55550,malignant neoplasm of upper eyelid,C44,,,,,,1,,,,,,,,,
B331200,41958,malignant neoplasm of lower eyelid,C44,,,,,,1,,,,,,,,,
B332.00,53515,malignant neoplasm skin of ear and external auricular canal,C44,,,,,,1,,,,,,,,,
B332000,33997,malignant neoplasm of skin of auricle (ear),C44,,,,,,1,,,,,,,,,
B332100,62080,malignant neoplasm of skin of external auditory meatus,C44,,,,,,1,,,,,,,,,
B332200,33271,malignant neoplasm of pinna nec,C44,,,,,,1,,,,,,,,,
B332z00,62399,malig neop skin of ear and external auricular canal nos,C44,,,,,,1,,,,,,,,,
B333.00,27370,malignant neoplasm skin of other and unspecified parts face,C44,,,,,,1,,,,,,,,,
B333000,30645,"malignant neoplasm of skin of cheek, external",C44,,,,,,1,,,,,,,,,
B333100,49403,malignant neoplasm of skin of chin,C44,,,,,,1,,,,,,,,,
B333200,55670,malignant neoplasm of skin of eyebrow,C44,,,,,,1,,,,,,,,,
B333300,30576,malignant neoplasm of skin of forehead,C44,,,,,,1,,,,,,,,,
B333400,16202,malignant neoplasm of skin of nose (external),C44,,,,,,1,,,,,,,,,
B333500,21327,malignant neoplasm of skin of temple,C44,,,,,,1,,,,,,,,,
B333z00,46008,malignant neoplasm skin other and unspec part of face nos,C44,,,,,,1,,,,,,,,,
B334.00,54234,malignant neoplasm of scalp and skin of neck,C44,,,,,,1,,,,,,,,,
B334000,37165,malignant neoplasm of scalp,C44,,,,,,1,,,,,,,,,
B334100,43619,malignant neoplasm of skin of neck,C44,,,,,,1,,,,,,,,,
B334z00,73760,malignant neoplasm of scalp or skin of neck nos,C44,,,,,,1,,,,,,,,,
B335.00,57446,"malignant neoplasm of skin of trunk, excluding scrotum",C44,,,,,,1,,,,,,,,,
B335000,70380,malignant neoplasm of skin of axillary fold,C44,,,,,,1,,,,,,,,,
B335100,37969,"malignant neoplasm of skin of chest, excluding breast",C44,,,,,,1,,,,,,,,,
B335200,30543,malignant neoplasm of skin of breast,C44,,,,,,1,,,,,,,,,
B335300,18618,malignant neoplasm of skin of abdominal wall,C44,,,,,,1,,,,,,,,,
B335400,67748,malignant neoplasm of skin of umbilicus,C44,,,,,,1,,,,,,,,,
B335500,66319,malignant neoplasm of skin of groin,C44,,,,,,1,,,,,,,,,
B335600,46458,malignant neoplasm of skin of perineum,C44,,,,,,1,,,,,,,,,
B335700,45077,malignant neoplasm of skin of back,C44,,,,,,1,,,,,,,,,
B335800,62305,malignant neoplasm of skin of buttock,C44,,,,,,1,,,,,,,,,
B335900,23480,malignant neoplasm of perianal skin,C44,,,,,,1,,,,,,,,,
B335A00,66447,malignant neoplasm of skin of scapular region,C44,,,,,,1,,,,,,,,,
B335z00,15868,"malignant neoplasm of skin of trunk, excluding scrotum, nos",C44,,,,,,1,,,,,,,,,
B336.00,30747,malignant neoplasm of skin of upper limb and shoulder,C44,,,,,,1,,,,,,,,,
B336000,43122,malignant neoplasm of skin of shoulder,C44,,,,,,1,,,,,,,,,
B336100,42707,malignant neoplasm of skin of upper arm,C44,,,,,,1,,,,,,,,,
B336200,30577,malignant neoplasm of skin of fore-arm,C44,,,,,,1,,,,,,,,,
B336300,54352,malignant neoplasm of skin of hand,C44,,,,,,1,,,,,,,,,
B336400,25245,malignant neoplasm of skin of finger,C44,,,,,,1,,,,,,,,,
B336500,64406,malignant neoplasm of skin of thumb,C44,,,,,,1,,,,,,,,,
B336z00,60526,malignant neoplasm of skin of upper limb or shoulder nos,C44,,,,,,1,,,,,,,,,
B337.00,57442,malignant neoplasm of skin of lower limb and hip,C44,,,,,,1,,,,,,,,,
B337000,70988,malignant neoplasm of skin of hip,C44,,,,,,1,,,,,,,,,
B337100,58601,malignant neoplasm of skin of thigh,C44,,,,,,1,,,,,,,,,
B337200,56954,malignant neoplasm of skin of knee,C44,,,,,,1,,,,,,,,,
B337300,68197,malignant neoplasm of skin of popliteal fossa area,C44,,,,,,1,,,,,,,,,
B337400,33682,malignant neoplasm of skin of lower leg,C44,,,,,,1,,,,,,,,,
B337500,64270,malignant neoplasm of skin of ankle,C44,,,,,,1,,,,,,,,,
B337600,104025,malignant neoplasm of skin of heel,C43 C44,,,,,,1,,,,,,,,,
B337700,70587,malignant neoplasm of skin of foot,C44,,,,,,1,,,,,,,,,
B337800,65782,malignant neoplasm of skin of toe,C44,,,,,,1,,,,,,,,,
B337900,67914,malignant neoplasm of skin of great toe,C44,,,,,,1,,,,,,,,,
B337z00,61194,malignant neoplasm of skin of lower limb or hip nos,C44,,,,,,1,,,,,,,,,
B338.00,93352,squamous cell carcinoma of skin,C44,,,,,,1,,,,,,,,,
B339.00,24375,dermatofibrosarcoma protuberans,C44,,,,,,1,,,,,,,,,
B33X.00,42429,malignant neoplasm overlapping lesion of skin,C44,,,,,,1,,,,,,,,,
B33y.00,18354,malignant neoplasm of other specified skin sites,C44,,,,,,1,,,,,,,,,
B33z.00,2492,malignant neoplasm of skin nos,C44,,,,,,1,,,,,,,,,
B33z.11,93490,squamous cell carcinoma of skin nos,C44,,,,,,1,,,,,,,,,
B512000,67236,malignant neoplasm of hippocampus,C44,,,,,,1,,,,,,,,,
BB2A.13,94873,[m]squamous cell carcinoma of skin nos,C44,,,,,,1,,,,,,,,,
BB31.00,3028,[m]basal cell carcinoma nos,C44,,,,,,1,,,,,,,,,
BB32.00,59919,[m]multicentric basal cell carcinoma,C44,,,,,,1,,,,,,,,,
BB33.00,9885,"[m]basal cell carcinoma, morphoea type",C44,,,,,,1,,,,,,,,,
BB34.00,29524,"[m]basal cell carcinoma, fibroepithelial type",C44,,,,,,1,,,,,,,,,
BB35.00,35457,[m]basosquamous carcinoma,C44,,,,,,1,,,,,,,,,
BB36.00,13574,[m]metatypical carcinoma,C44,,,,,,1,,,,,,,,,
BB3C.00,102417,[m]superficial basal cell carcinoma,C44,,,,,,1,,,,,,,,,
BB3D.00,102547,"[m]basal cell carcinoma, nodular",C44,,,,,,1,,,,,,,,,
BB3E.00,103440,"[m]basal cell carcinoma, micronodular",C44,,,,,,1,,,,,,,,,
BB3F.00,103178,"[m]basal cell carcinoma, infiltrative",C44,,,,,,1,,,,,,,,,
BB3G.00,103066,[m]pigmented basal cell carcinoma,C44,,,,,,1,,,,,,,,,
BB5RA00,32641,[m]merkel cell carcinoma,C44,,,,,,1,,,,,,,,,
BB60100,68783,[m]skin appendage carcinoma,C44,,,,,,1,,,,,,,,,
BB61200,71627,[m]sweat gland adenocarcinoma,C44,,,,,,1,,,,,,,,,
BB62100,38575,[m]apocrine adenocarcinoma,C44,,,,,,1,,,,,,,,,
BB69100,34269,[m]sebaceous adenocarcinoma,C44,,,,,,1,,,,,,,,,
BBEV.00,68447,"[m]blue naevus, malignant",C44,,,,,,1,,,,,,,,,
BBGL.00,26881,[m]dermatofibroma protuberans,C44,,,,,,1,,,,,,,,,
BBGM.00,31772,[m]dermatofibrosarcoma nos,C44,,,,,,1,,,,,,,,,
Byu4.00,19144,[x]melanoma and other malignant neoplasms of skin,C43 C44,,,,,1,1,,,,,,,,,
