phenotype_name,medcode,ReadcodeDescr,Readcode
Oesophageal varices,105611,[X]Oesophageal varices in diseases classified elsewhere,Gyu9400
Oesophageal varices,10797,Oesophageal varices NOS,G858.00
Oesophageal varices,107975,Other specified open operation on oesophageal varices,7609y00
Oesophageal varices,11960,Fibreoptic endoscopic injection sclerotherapy oesoph varices,760C300
Oesophageal varices,1641,Oesophageal varices,G85..11
Oesophageal varices,16759,Fibreoptic endoscopic banding of oesophageal varices,760C500
Oesophageal varices,20233,Open operation on oesophageal varices NOS,7609z00
Oesophageal varices,20912,Open injection sclerotherapy to oesophageal varices,7609400.0
Oesophageal varices,24220,Open operations on oesophageal varices,7609.00
Oesophageal varices,24989,Oesophageal varices with bleeding,G850.00
Oesophageal varices,26319,Oesophageal varices in cirrhosis of the liver,G852200
Oesophageal varices,30655,Oesophageal varices without bleeding,G851.00
Oesophageal varices,43404,Local ligation of oesophageal varices,7609300.0
Oesophageal varices,44424,Oesophageal varices in diseases EC,G852.00
Oesophageal varices,46647,Rigid oesophagoscopic banding of oesophageal varices,760F400
Oesophageal varices,47214,Rigid oesophagoscopic injection sclerotherapy oesoph varices,760F300
Oesophageal varices,62038,Tanner devascularisation for bleeding varices,7609y11
Oesophageal varices,62582,Oesophageal varices in diseases EC NOS,G852z00
Oesophageal varices,73139,Oesophageal varices without bleeding in diseases EC,G852100
Oesophageal varices,8363,Oesophageal varices in alcoholic cirrhosis of the liver,G852300
Oesophageal varices,89717,Fibreopt endoscop rubber band ligation of upper GIT varices,761D800
Oesophageal varices,96756,Oesophageal varices with bleeding in diseases EC,G852000
