phenotype_name,medcode,ReadcodeDescr,Readcode
Oesophagitis and oesophageal ulcer,10060,Oesophageal erosions,J10y300
Oesophagitis and oesophageal ulcer,14760,Oesophagitis NOS,J101z00
Oesophagitis and oesophageal ulcer,15579,Peptic oesophagitis,J101114
Oesophagitis and oesophageal ulcer,16450,Regurgitant oesophagitis,J101115
Oesophagitis and oesophageal ulcer,16605,Oesophageal reflux with oesophagitis,J101113
Oesophagitis and oesophageal ulcer,24021,Peptic ulcer of oesophagus,J102000
Oesophagitis and oesophageal ulcer,2489,Ulcer of oesophagus,J102.00
Oesophagitis and oesophageal ulcer,2535,Reflux oesophagitis,J101100
Oesophagitis and oesophageal ulcer,34836,Chemical oesophagitis,J101200
Oesophagitis and oesophageal ulcer,35037,Other specified oesophagitis,J101y00
Oesophagitis and oesophageal ulcer,39323,Phlegmonous oesophagitis,J101500
Oesophagitis and oesophageal ulcer,42150,Ulcer of oesophagus NOS,J102z00
Oesophagitis and oesophageal ulcer,47694,Postoperative oesophagitis,J101300
Oesophagitis and oesophageal ulcer,49926,Fungal ulcer of oesophagus,J102100
Oesophagitis and oesophageal ulcer,51013,Oesophageal ulcer due to aspirin,J102200
Oesophagitis and oesophageal ulcer,5283,Ulcerative oesophagitis,J101600
Oesophagitis and oesophageal ulcer,57039,Abscess of oesophagus,J101000
Oesophagitis and oesophageal ulcer,58603,Oesophageal ulcer due to medicines,J102400
Oesophagitis and oesophageal ulcer,592,Oesophagitis,J101.00
Oesophagitis and oesophageal ulcer,7104,Gastro-oesophageal reflux with oesophagitis,J101112
Oesophagitis and oesophageal ulcer,94752,Oesophageal ulcer due to chemicals,J102300
Oesophagitis and oesophageal ulcer,98929,Gangrenous oesophagitis,J101400
