phenotype_name,medcode,ReadcodeDescr,Readcode
Peptic ulcer disease,102177,Acute gastrojejunal ulcer with perforation,J140200
Peptic ulcer disease,106330,Acute gastrojejunal ulcer with haemorrhage and perforation,J140300
Peptic ulcer disease,109546,Acute gastric ulcer with obstruction,J110400
Peptic ulcer disease,110244,Chronic gastrojejunal ulcer with haemorrhage and perforation,J141300
Peptic ulcer disease,11104,Perforated chronic gastric ulcer,J111211
Peptic ulcer disease,11124,Bleeding acute gastric ulcer,J110111
Peptic ulcer disease,1262,Gastric ulcer - (GU),J11..00
Peptic ulcer disease,14671,Acute gastric ulcer with perforation,J110200
Peptic ulcer disease,15175,Duodenal ulcer NOS,J12z.00
Peptic ulcer disease,15403,Gastrojejunal ulcer NOS,J14z.00
Peptic ulcer disease,15821,Stress ulcer NOS,J13..11
Peptic ulcer disease,15979,Unspecified gastrojejunal ulcer with perforation,J14y200
Peptic ulcer disease,18001,Acute duodenal ulcer with haemorrhage,J120100
Peptic ulcer disease,18027,Acute duodenal ulcer,J120.00
Peptic ulcer disease,18319,Healed gastric ulcer leaving a scar,J17y800
Peptic ulcer disease,18324,Acute duodenal ulcer with perforation,J120200
Peptic ulcer disease,18625,Bleeding chronic duodenal ulcer,J121111
Peptic ulcer disease,18654,Chronic gastric ulcer,J111.00
Peptic ulcer disease,19928,Peptic ulcer NOS,J13z.00
Peptic ulcer disease,20677,Closure of perforated gastric ulcer,761J000
Peptic ulcer disease,22918,Duodenal ulcer disease,J122.00
Peptic ulcer disease,23082,Gastrojejunal ulcer (GJU),J14..00
Peptic ulcer disease,23087,Perforated chronic duodenal ulcer,J121211
Peptic ulcer disease,23487,Anastomotic ulcer,J14..11
Peptic ulcer disease,23688,Operations on gastric ulcer,761J.00
Peptic ulcer disease,24040,Acute gastric ulcer,J110.00
Peptic ulcer disease,24342,Acute gastric ulcer unspecified,J110y00
Peptic ulcer disease,26261,[V]Personal history of peptic ulcer,ZV12711
Peptic ulcer disease,2812,H/O: peptic ulcer,14C1.00
Peptic ulcer disease,2814,Unspecified duodenal ulcer with haemorrhage,J12y100
Peptic ulcer disease,28366,Unspec duodenal ulcer; unspec haemorrhage and/or perforation,J12yy00
Peptic ulcer disease,2877,Gastric erosions,J11z.11
Peptic ulcer disease,29317,Recurrent duodenal ulcer,J124.00
Peptic ulcer disease,29771,Gastric ulcer NOS,J11z.00
Peptic ulcer disease,30054,Acute gastric ulcer with haemorrhage,J110100
Peptic ulcer disease,3101,Pyloric ulcer,J11..12
Peptic ulcer disease,32856,Acute peptic ulcer,J130.00
Peptic ulcer disease,33438,Chronic duodenal ulcer without mention of complication,J121000
Peptic ulcer disease,33914,Operation on gastric ulcer NOS,761Jz00
Peptic ulcer disease,3462,Duodenal erosion,J123.00
Peptic ulcer disease,352,Duodenal ulcer - (DU),J12..00
Peptic ulcer disease,36461,Unspecified gastric ulcer with perforation,J11y200
Peptic ulcer disease,36583,Bleeding chronic gastric ulcer,J111111
Peptic ulcer disease,37268,Suture of duodenal ulcer not elsewhere classified,7627100.0
Peptic ulcer disease,37620,Chronic peptic ulcer with perforation,J131200
Peptic ulcer disease,37643,Chronic duodenal ulcer with perforation,J121200
Peptic ulcer disease,40489,[V]Personal history of duodenal ulcer,ZV12712
Peptic ulcer disease,40997,Chronic peptic ulcer,J131.00
Peptic ulcer disease,41271,[V] Personal history of gastric ulcer,ZV12C00
Peptic ulcer disease,42274,Acute gastrojejunal ulcer NOS,J140z00
Peptic ulcer disease,44073,Chronic duodenal ulcer with obstruction,J121400
Peptic ulcer disease,44284,Unspecified gastric ulcer NOS,J11yz00
Peptic ulcer disease,44309,Chronic gastric ulcer NOS,J111z00
Peptic ulcer disease,44324,Acute gastric ulcer NOS,J110z00
Peptic ulcer disease,44335,Acute duodenal ulcer without mention of complication,J120000
Peptic ulcer disease,44637,Acute peptic ulcer with haemorrhage,J130100
Peptic ulcer disease,45184,Acute gastrojejunal ulcer,J140.00
Peptic ulcer disease,45304,Acute peptic ulcer with haemorrhage and perforation,J130300
Peptic ulcer disease,45981,Endoscopic injection haemostasis of duodenal ulcer,761D500
Peptic ulcer disease,4741,Closure of perforated duodenal ulcer,7627000.0
Peptic ulcer disease,48730,Acute duodenal ulcer with haemorrhage and perforation,J120300
