medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
10500,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Erythromelalgia', 'Readcode': 'G73y800'}"
106762,history of PVD during a consultation,Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'H/O: arterial lower limb ulcer', 'Readcode': '14F7.00'}"
10827,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Percutaneous transluminal angioplasty of iliac artery', 'Readcode': '7A44000'}"
11624,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Arterial leg ulcer', 'Readcode': 'M271300'}"
11766,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other emergency bypass of femoral artery', 'Readcode': '7A47.16'}"
12331,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other bypass of popliteal artery', 'Readcode': '7A48.15'}"
12735,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Gangrene of foot', 'Readcode': 'G732100'}"
14796,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': '[D]Failure of peripheral circulation', 'Readcode': 'R055000'}"
14797,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Extremity artery atheroma', 'Readcode': 'G702.00'}"
14895,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Aorto bifemoral graft', 'Readcode': '7A12111'}"
1517,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Intermittent claudication', 'Readcode': 'G73z000'}"
15272,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Erythrocyanosis', 'Readcode': 'G73y700'}"
15302,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Peripheral arterial embolism and thrombosis NOS', 'Readcode': 'G742z00'}"
15532,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Bypass bifurcation aorta by anastom aorta to iliac artery', 'Readcode': '7A12300'}"
16260,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Extremity artery atheroma NOS', 'Readcode': 'G702z00'}"
16363,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Open thrombectomy of femoral artery', 'Readcode': '7A4A211'}"
17336,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Open femoral embolectomy', 'Readcode': '7A4A212'}"
18030,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Percut translum thrombolysis femoral graft streptokinase', 'Readcode': '7A4B800'}"
18038,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Revision of reconstruction involving femoral artery', 'Readcode': '7A50200'}"
18060,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other bypass of femoral artery', 'Readcode': '7A48.14'}"
1826,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Ischaemia of legs', 'Readcode': 'G73..12'}"
18816,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Endarterectomy of femoral artery NEC', 'Readcode': '7A49200'}"
19155,Peripheral vascular disease (7),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Aorto-iliac disease', 'Readcode': 'G700.11'}"
2065,Leg or aortic embolism or thrombosis (8),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Embolism and thrombosis of the femoral artery', 'Readcode': 'G742400'}"
20657,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Revision of reconstruction of artery', 'Readcode': '7A50.00'}"
2066,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other bypass of femoral artery or popliteal artery NOS', 'Readcode': '7A48z00'}"
20892,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other open operations on popliteal artery', 'Readcode': '7A4A.13'}"
21927,Other PAD procedures (3),Med codes,C1350,3839,Peripheral arterial disease - Primary care,PH236,472,Peripheral arterial disease,"{'Disease': 'Peripheral arterial disease', 'ReadcodeDescr': 'Other bypass of iliac artery', 'Readcode': '7A41.00'}"
