phenotype_name,medcode,ReadcodeDescr,Readcode
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),100064,Polyneuropathy in mumps,F374600
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),10082,Ulnar neuritis,N134.14
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),101311,Insulin dependent diabetes mellitus with polyneuropathy,C10EC12
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),105825,Familial amyloid polyneuropathy type III,C373K13
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),106103,Hereditary motor and sensory neuropathy type III,F368200
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),107099,[X]Other lesions of median nerve,Fyu6900
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),10722,Inflammatory and toxic neuropathy,F37..00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),107322,[X]Other mononeuropathies in diseases classified elsewhere,Fyu6D00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),108834,Charcot-Marie-Tooth syndrome,F361012
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),109197,Type II diabetes mellitus with neuropathic arthropathy,C10FH11
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),109865,Type 2 diabetes mellitus with polyneuropathy,C109B12
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),110363,[X]Polyneuropathy/other endocrine+metabolic diseases CE,Fyu7500
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),110567,[X]Polyneuropathy/other musculoskeletal disorders CE,Fyu7800
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),11106,Korsakov's alcoholic psychosis with peripheral neuritis,E011100
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),11542,Dejerine-Sottas disease,F360000
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),11663,Neuropathic diabetic ulcer - foot,M271100
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),12097,Ulnar nerve entrapment,F342300
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1254,Sciatic nerve lesion,F350.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),14741,Ulnar nerve lesion NOS,F342z00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),14883,Hereditary or idiopathic peripheral neuropathy NOS,F36z.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),14884,Other idiopathic peripheral neuropathy,F36y.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),15481,Toxic or inflammatory neuropathy NOS,F37z.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),15808,Plantar nerve lesion,F356.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1607,Guillain-Barre syndrome,F370000
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),16293,Mononeuritis multiplex,F345.00
Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),16452,Mononeuritis of unspecified site NOS,F35z.00
