medcode,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
100103,Diagnosis of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Axillary vein thrombosis', 'Readcode': 'G824.00'}"
101655,History of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Deep vein thrombosis - enhanced services administration', 'Readcode': '9kg..00'}"
101733,Diagnosis of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Cerebral vein thrombosis', 'Readcode': 'G67A.00'}"
102776,History of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'DVT stage 1 service level - enhanced services administration', 'Readcode': '9kg0.00'}"
102777,History of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'DVT stage 2 service level - enhanced services administration', 'Readcode': '9kg1.00'}"
104290,History of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'DVT enhanced services administration stage 1 service level', 'Readcode': '9kg0.11'}"
104342,Diagnosis of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Recurrent deep vein thrombosis', 'Readcode': 'G801G00'}"
105403,Diagnosis of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Thrombosis of subclavian vein', 'Readcode': 'G825.00'}"
106482,Diagnosis of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'Thrombophlebitis of the dorsalis pedis vein', 'Readcode': 'G801900'}"
106566,History of Venous thromboembolic disease (Excl PE),Med codes,C1658,4455,Venous thromboembolic disease (Excl PE) - Primary care,PH338,676,Venous thromboembolic disease (Excl PE),"{'Disease': 'Venous thromboembolic disease (Excl PE)', 'ReadcodeDescr': 'On deep vein thrombosis care pathway', 'Readcode': '8CMWA00'}"
