phenotype_name,medcode,ReadcodeDescr,Readcode
Ulcerative colitis,104259,Ulcerative pancolitis,J413.00
Ulcerative colitis,15207,Idiopathic proctocolitis NOS,J41z.00
Ulcerative colitis,17641,Arthropathy in ulcerative colitis,N031000
Ulcerative colitis,1784,Ulcerative colitis and/or proctitis,J41..12
Ulcerative colitis,22516,Exacerbation of ulcerative colitis,J410400
Ulcerative colitis,23950,Mucous colitis and/or proctitis,J41..11
Ulcerative colitis,24550,Other idiopathic proctocolitis,J41y.00
Ulcerative colitis,24858,Ulcerative rectosigmoiditis,J410200
Ulcerative colitis,30433,Ulcerative (chronic) enterocolitis,J411.00
Ulcerative colitis,33456,Ulcerative proctocolitis NOS,J410z00
Ulcerative colitis,42822,Ulcerative (chronic) ileocolitis,J412.00
Ulcerative colitis,43090,Other idiopathic proctocolitis NOS,J41yz00
Ulcerative colitis,48732,Ulcerative ileocolitis,J410000
Ulcerative colitis,5133,Idiopathic proctocolitis,J41..00
Ulcerative colitis,53743,[X]Other ulcerative colitis,Jyu4100
Ulcerative colitis,5749,H/O: ulcerative colitis,14C4.11
Ulcerative colitis,6650,Ulcerative proctocolitis,J410.00
Ulcerative colitis,704,Ulcerative colitis,J410100
Ulcerative colitis,71083,Juvenile arthritis in ulcerative colitis,N045400
Ulcerative colitis,8347,Ulcerative proctitis,J410300
