phenotype_name,medcode,ReadcodeDescr,Readcode
Volvulus,15594,Volvulus NOS,J502z00
Volvulus,17831,Volvulus of the ileocaecum,J502200
Volvulus,20698,Passage of flatus tube to reduce volvulus of sigmoid colon,771R200
Volvulus,2265,Open reduction of volvulus of colon NEC,771D300
Volvulus,23573,Volvulus of the sigmoid colon,J502300
Volvulus,32765,Open reduction of volvulus of sigmoid colon,771D200
Volvulus,3403,Volvulus,J502.00
Volvulus,4385,Volvulus of the small bowel,J502100
Volvulus,44951,Open reduction of volvulus of caecum,771D100
Volvulus,50797,Volvulus of duodenum,J173200
Volvulus,54395,Torsion of bowel,J502.11
