prodcode,productname,ingredient,bnftext,routeofadministration,dmdcode,therapyevents,bnfchapter,emo,top_cs,tcal,oral_cs,aza,metho,cic,myco,potency,injection,new202007
14014,aquagel gel (adams healthcare),glycerol/carbomer,-,topical,2.17E+17,197,65050900,1,,,,,,,,,,
29980,glycerol with carbomer gel,glycerol/carbomer,-,topical,2.08E+17,2,65050900,1,,,,,,,,,,
3755,proflavine 0.1% cream,proflavine hemisulfate/chlorocresol/beeswax yellow/liquid paraffin/purified water,antibacterial preparations (for skin conditions),cutaneous,1.46E+16,1845,13100100,1,,,,,,,,,,
51617,generic dermol cream,benzalkonium chloride/chlorhexidine hydrochloride/isopropyl myristate/liquid paraffin,antimicrobial emollients,cutaneous,7.66E+15,332,13020103,1,,,,,,,,,,
6993,dermol cream (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/isopropyl myristate/liquid paraffin,antimicrobial emollients,cutaneous,7.64E+15,531338,13020103,1,,,,,,,,,,
63374,generic emulsiderm emollient,liquid paraffin/isopropyl myristate/benzalkonium chloride,antimicrobial emollients,cutaneous,3.47E+15,12,13020103,1,,,,,,,,,,
50261,generic dermol 500 lotion,benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,antimicrobial emollients,cutaneous,3.40E+15,363,13020103,1,,,,,,,,,,
1600,dermol 500 lotion (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,antimicrobial emollients,cutaneous,5.54E+14,1692570,13020103,1,,,,,,,,,,
948,emulsiderm emollient (dermal laboratories ltd),liquid paraffin/isopropyl myristate/benzalkonium chloride,antimicrobial emollients,cutaneous,4.25E+14,281227,13020103,1,,,,,,,,,,
77860,lansinoh hpa lanolin nipple cream (lansinoh (uk) ltd),,barrier preparations,,3.71E+16,48,13020200,1,,,,,,,,,,
68071,medline remedy moisturising barrier cream (medline industries ltd),,barrier preparations,,3.25E+16,6,13020200,1,,,,,,,,,,
80241,wool fat cream,,barrier preparations,,3.71E+16,2,13020200,1,,,,,,,,,,
48567,aveeno skin relief body lotion (johnson & johnson ltd),,barrier preparations,route of administration not applicable,1.11E+16,7144,13020200,1,,,,,,,,,,
77756,lansinoh hpa lanolin cream (lansinoh (uk) ltd),,barrier preparations,,3.71E+16,28,13020200,1,,,,,,,,,,
8318,almond oil liquid,,drugs acting on the ear - removal of ear wax/emollients/extemporaneous item,,3.59E+16,60130,12010300/13020100/50030000,1,,,,,,,,,,
74333,epimax paraffin-free cream (dermato logical ltd),,emollient and barrier preparations,,3.56E+16,5,71860000,1,,,,,,,,,,
73078,ultraveen itch relief cream (dermatonics ltd),,emollient and barrier preparations,,3.51E+16,76,13020000,1,,,,,,,,,,
69433,generic epimax original cream,,emollient and barrier preparations,,2.80E+16,25,71860000,1,,,,,,,,,,
79524,ultraveen very dry skin cream (dermatonics ltd),,emollient and barrier preparations,,3.57E+16,1,71860000,1,,,,,,,,,,
72100,dermatonics once callus removing balm (dermatonics ltd),,emollient and barrier preparations,,3.50E+16,144,13020000,1,,,,,,,,,,
70026,pliazon cream (merck serono ltd),,emollient and barrier preparations,,3.30E+16,8,13020000,1,,,,,,,,,,
74133,epimax paraffin-free ointment (aspire pharma ltd),,emollient and barrier preparations,,3.56E+16,23,71860000,1,,,,,,,,,,
26026,evening primrose oil 20% cream,,emollient and barrier preparations,,3.61E+16,355,13020000,1,,,,,,,,,,
72257,epimax ointment (aspire pharma ltd),,emollient and barrier preparations,,3.51E+16,9903,71860000,1,,,,,,,,,,
57419,diprobase lotion (merck sharp & dohme ltd),,emollient and barrier preparations,,2.25E+16,6202,13020000,1,,,,,,,,,,
72893,aproderm ointment (fontus health ltd),,emollient and barrier preparations,,3.50E+16,1219,13020000,1,,,,,,,,,,
73123,epimax oatmeal cream (aspire pharma ltd),,emollient and barrier preparations,,3.53E+16,3157,71860000,1,,,,,,,,,,
63062,epimax original cream (aspire pharma ltd),,emollient and barrier preparations,,2.80E+16,105741,71860000,1,,,,,,,,,,
66193,generic diprobase lotion,,emollient and barrier preparations,,2.25E+16,12,13020000,1,,,,,,,,,,
79756,ultraveen moisturising cream (dermatonics ltd),,emollient and barrier preparations,,3.53E+16,4,71860000,1,,,,,,,,,,
78397,ultraveen intensive balm (dermatonics ltd),,emollient and barrier preparations,,3.53E+16,3,71860000,1,,,,,,,,,,
76723,generic epimax ointment,,emollient and barrier preparations,,3.51E+16,3,71860000,1,,,,,,,,,,
48365,cetaphil restoraderm skin restoring moisturiser (galderma (uk) ltd),,emollient and barrier preparations,route of administration not applicable,1.95E+16,615,13020000,1,,,,,,,,,,
47610,aquamax cream (dermato logical ltd),cetostearyl alcohol/liquid paraffin/white soft paraffin,emollient and barrier preparations/emollients,route of administration not applicable,1.93E+16,75676,13020000/13020100,1,,,,,,,,,,
876,oilatum plus bath additive (glaxosmithkline consumer healthcare),triclosan/liquid paraffin light/benzalkonium chloride,emollient bath additives and shower preparations,cutaneous,3.56E+14,451964,13020101,1,,,,,,,,,,
4981,liquid paraffin with isopropyl myristate emollient,liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,topical,1.52E+17,501,13020101,1,,,,,,,,,,
14543,aveeno regular bath additive (bioglan laboratories ltd),,emollient bath additives and shower preparations,,1.32E+17,1760,13020101,1,,,,,,,,,,
2572,oilatum skin therapy cream (stiefel laboratories (uk) ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,cutaneous,2.13E+17,2045,13020101,1,,,,,,,,,,
61827,generic dermol 600 bath emollient,isopropyl myristate/benzalkonium chloride/liquid paraffin,emollient bath additives and shower preparations,cutaneous,3.40E+15,15,13020101,1,,,,,,,,,,
4826,oilatum fragrance free junior bath additive (stiefel laboratories (uk) ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.35E+17,107828,13020101,1,,,,,,,,,,
53499,generic aveeno bath additive colloidal powder 50g sachets,,emollient bath additives and shower preparations,route of administration not applicable,3.39E+15,14,13020101,1,,,,,,,,,,
41798,zerolatum emollient bath additive (thornton & ross ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,cutaneous,1.47E+16,4220,13020101,1,,,,,,,,,,
